,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
9372,25-29,Man,France,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Insurance/Risk Assessment,"1000-9,999 employees",3-4,"50,000-59,999"
9373,35-39,Man,Russia,Master’s degree,Data Scientist,1-3 years,3,1-2 years,Shipping/Transportation,"1000-9,999 employees",0,"1,000-1,999"
9374,45-49,Man,Kenya,Master’s degree,Product Manager,1-3 years,2,1-2 years,Manufacturing/Fabrication,50-249 employees,1-2,"30,000-39,999"
9375,35-39,Other,Germany,Some college no bachelor,Other,1-3 years,1,,,,,nan
9376,18-21,Man,Bangladesh,Some college no bachelor,Student,1-3 years,1,Under 1 year,,,,nan
9377,25-29,Man,USA,Bachelor’s degree,Business Analyst,No experience,0,,Medical/Pharmaceutical,250-999 employees,1-2,"70,000-79,999"
9378,25-29,Woman,Taiwan,Master’s degree,Other,No experience,0,,Non-profit/Service,"1000-9,999 employees",3-4,0-999
9379,25-29,Man,Belgium,Doctoral degree,Research Scientist,10-20 years,2,5-10 years,Academics/Education,"10,000 or more employees",20+,"40,000-49,999"
9380,45-49,Man,USA,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Computers/Technology,"10,000 or more employees",20+,"125,000-149,999"
9381,30-34,Man,Nigeria,Bachelor’s degree,Currently not employed,1-3 years,1,Under 1 year,,,,nan
9382,18-21,Man,Pakistan,Master’s degree,Machine Learning Engineer,No experience,0,,Academics/Education,0-49 employees,0,0-999
9383,22-24,Man,South Korea,Bachelor’s degree,Student,< 1 years,1,Under 1 year,,,,nan
9384,35-39,Man,India,Master’s degree,Other,No experience,0,,Computers/Technology,50-249 employees,3-4,"20,000-24,999"
9385,18-21,Woman,India,Some college no bachelor,Student,< 1 years,4,No experience,,,,nan
9386,40-44,Man,Philippines,Bachelor’s degree,Business Analyst,No experience,0,,Other,"1000-9,999 employees",3-4,"10,000-14,999"
9387,25-29,Man,Other,Bachelor’s degree,Data Scientist,3-5 years,3,1-2 years,Online Service/Internet-based Services,"10,000 or more employees",20+,"70,000-79,999"
9388,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,2,1-2 years,Academics/Education,0-49 employees,0,nan
9389,30-34,Man,USA,Master’s degree,Data Engineer,3-5 years,5,,,,,nan
9390,18-21,Man,Pakistan,Bachelor’s degree,Student,< 1 years,1,No experience,,,,nan
9391,30-34,Man,Other,Bachelor’s degree,Other,1-3 years,2,1-2 years,Manufacturing/Fabrication,50-249 employees,0,0-999
9392,60-69,Man,UK,Doctoral degree,Other,3-5 years,1,2-3 years,Energy/Mining,0-49 employees,3-4,"100,000-124,999"
9393,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
9394,40-44,Other,Other,I prefer not to answer,Other,1-3 years,3,Under 1 year,Manufacturing/Fabrication,0-49 employees,0,0-999
9395,25-29,Man,China,Master’s degree,Student,< 1 years,4,,,,,nan
9396,45-49,Man,South Korea,High school,Data Scientist,5-10 years,3,5-10 years,Accounting/Finance,0-49 employees,15-19,"10,000-14,999"
9397,25-29,Man,Japan,Some college no bachelor,Software Engineer,3-5 years,4,Under 1 year,Online Service/Internet-based Services,250-999 employees,10-14,"2,000-2,999"
9398,25-29,Man,China,Master’s degree,Data Engineer,1-3 years,3,1-2 years,Hospitality/Entertainment/Sports,"10,000 or more employees",10-14,"5,000-7,499"
9399,30-34,Man,India,Doctoral degree,Research Scientist,3-5 years,2,,,,,nan
9400,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,2,No experience,Academics/Education,0-49 employees,0,nan
9401,35-39,Man,USA,Professional doctorate,Data Analyst,1-3 years,2,1-2 years,Medical/Pharmaceutical,"10,000 or more employees",20+,"50,000-59,999"
9402,18-21,Woman,USA,Some college no bachelor,Currently not employed,1-3 years,3,No experience,,,,nan
9403,25-29,Man,India,I prefer not to answer,Software Engineer,3-5 years,3,2-3 years,Computers/Technology,"1000-9,999 employees",1-2,"7,500-9,999"
9404,18-21,Man,Indonesia,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,2-3 years,Computers/Technology,0-49 employees,3-4,0-999
9405,35-39,Man,Brazil,Master’s degree,Data Scientist,10-20 years,3,10-20 years,Insurance/Risk Assessment,"10,000 or more employees",15-19,"60,000-69,999"
9406,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,0,"1,000-1,999"
9407,45-49,Man,Poland,Master’s degree,Data Analyst,5-10 years,3,1-2 years,Government/Public Service,"1000-9,999 employees",1-2,"1,000-1,999"
9408,18-21,Man,India,Bachelor’s degree,Student,3-5 years,6,Under 1 year,,,,nan
9409,30-34,Man,India,Doctoral degree,Other,5-10 years,3,No experience,Academics/Education,0-49 employees,0,"2,000-2,999"
9410,30-34,Man,UK,Master’s degree,Other,10-20 years,1,No experience,Accounting/Finance,"10,000 or more employees",20+,0-999
9411,22-24,Other,India,Doctoral degree,Data Analyst,< 1 years,1,Under 1 year,Academics/Education,"10,000 or more employees",10-14,"2,000-2,999"
9412,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Insurance/Risk Assessment,0-49 employees,1-2,"4,000-4,999"
9413,25-29,Man,India,Master’s degree,Data Analyst,< 1 years,4,Under 1 year,Academics/Education,50-249 employees,0,0-999
9414,18-21,Man,India,Some college no bachelor,Data Scientist,< 1 years,1,Under 1 year,Other,0-49 employees,0,0-999
9415,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,2-3 years,,,,nan
9416,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,3,2-3 years,Accounting/Finance,"10,000 or more employees",1-2,"10,000-14,999"
9417,25-29,Woman,South Korea,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
9418,18-21,Man,India,Bachelor’s degree,Student,< 1 years,1,Under 1 year,,,,nan
9419,22-24,Man,Pakistan,Bachelor’s degree,Student,< 1 years,1,No experience,,,,nan
9420,25-29,Man,India,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
9421,45-49,Man,USA,Master’s degree,Data Scientist,20+ years,1,5-10 years,Computers/Technology,50-249 employees,20+,"150,000-199,999"
9422,30-34,Other,UK,Some college no bachelor,Data Scientist,3-5 years,3,2-3 years,Hospitality/Entertainment/Sports,"1000-9,999 employees",1-2,"70,000-79,999"
9423,18-21,Man,Kenya,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Other,0-49 employees,0,0-999
9424,25-29,Man,Mexico,Bachelor’s degree,Data Analyst,< 1 years,2,No experience,Retail/Sales,250-999 employees,10-14,"10,000-14,999"
9425,40-44,Man,Turkey,Doctoral degree,Research Scientist,< 1 years,1,Under 1 year,Marketing/CRM,0-49 employees,0,"3,000-3,999"
9426,35-39,Man,China,Doctoral degree,Machine Learning Engineer,10-20 years,1,10-20 years,Online Service/Internet-based Services,"10,000 or more employees",20+,"5,000-7,499"
9427,30-34,Man,Pakistan,Doctoral degree,Student,5-10 years,1,1-2 years,,,,nan
9428,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Other,0-49 employees,0,nan
9429,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
9430,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,2,No experience,,,,nan
9431,35-39,Man,Denmark,Master’s degree,Currently not employed,1-3 years,1,1-2 years,,,,nan
9432,22-24,Man,India,Bachelor’s degree,Currently not employed,No experience,0,,,,,nan
9433,50-54,Man,France,Master’s degree,Data Scientist,20+ years,2,5-10 years,Energy/Mining,"10,000 or more employees",20+,"90,000-99,999"
9434,18-21,Man,India,Bachelor’s degree,Student,1-3 years,1,1-2 years,,,,nan
9435,25-29,Man,India,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Retail/Sales,50-249 employees,15-19,"15,000-19,999"
9436,18-21,Man,Nigeria,Master’s degree,Student,1-3 years,2,No experience,,,,nan
9437,30-34,Woman,UAE,Master’s degree,Student,< 1 years,1,Under 1 year,,,,nan
9438,30-34,Man,Ecuador,High school,Data Engineer,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999
9439,18-21,Man,Malaysia,Bachelor’s degree,Statistician,< 1 years,4,No experience,Insurance/Risk Assessment,0-49 employees,0,0-999
9440,25-29,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Online Service/Internet-based Services,0-49 employees,15-19,0-999
9441,22-24,Other,India,High school,Currently not employed,< 1 years,2,No experience,,,,nan
9442,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
9443,25-29,Man,Romania,Master’s degree,Software Engineer,3-5 years,2,3-4 years,Computers/Technology,"1000-9,999 employees",20+,"20,000-24,999"
9444,30-34,Man,Taiwan,Master’s degree,Research Scientist,1-3 years,2,No experience,Academics/Education,250-999 employees,3-4,0-999
9445,30-34,Man,UAE,Master’s degree,Software Engineer,3-5 years,2,1-2 years,Computers/Technology,"10,000 or more employees",20+,"70,000-79,999"
9446,25-29,Man,Argentina,Master’s degree,Data Scientist,3-5 years,4,4-5 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,"7,500-9,999"
9447,40-44,Man,USA,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,"10,000 or more employees",10-14,"25,000-29,999"
9448,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,1-2 years,,,,nan
9449,25-29,Man,South Africa,Bachelor’s degree,Software Engineer,3-5 years,3,1-2 years,Broadcasting/Communications,"1000-9,999 employees",5-9,"1,000-1,999"
9450,50-54,Man,Spain,Professional doctorate,Program/Project Manager,20+ years,6,10-20 years,Computers/Technology,50-249 employees,15-19,"90,000-99,999"
9451,25-29,Man,Poland,Master’s degree,Product Manager,3-5 years,4,1-2 years,Other,"10,000 or more employees",0,0-999
9452,30-34,Woman,Switzerland,Bachelor’s degree,Data Scientist,1-3 years,1,1-2 years,Academics/Education,250-999 employees,5-9,0-999
9453,30-34,Woman,USA,Master’s degree,Data Analyst,5-10 years,3,3-4 years,Accounting/Finance,"10,000 or more employees",20+,"100,000-124,999"
9454,22-24,Man,UK,Master’s degree,Data Scientist,5-10 years,4,2-3 years,Marketing/CRM,"1000-9,999 employees",3-4,"40,000-49,999"
9455,18-21,Woman,China,Bachelor’s degree,Student,5-10 years,3,1-2 years,,,,nan
9456,30-34,Woman,Russia,I prefer not to answer,Data Analyst,1-3 years,3,1-2 years,Marketing/CRM,"1000-9,999 employees",10-14,0-999
9457,22-24,Man,India,Bachelor’s degree,Data Engineer,3-5 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"3,000-3,999"
9458,25-29,Woman,Poland,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Online Service/Internet-based Services,50-249 employees,3-4,"7,500-9,999"
9459,30-34,Man,UK,Doctoral degree,Other,5-10 years,2,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,"100,000-124,999"
9460,18-21,Man,Pakistan,Some college no bachelor,Data Scientist,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,0,0-999
9461,30-34,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Retail/Sales,0-49 employees,1-2,0-999
9462,40-44,Woman,Colombia,Master’s degree,Data Engineer,10-20 years,2,2-3 years,Computers/Technology,"10,000 or more employees",20+,nan
9463,22-24,Man,India,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
9464,18-21,Woman,Egypt,Some college no bachelor,Data Scientist,No experience,0,,Accounting/Finance,0-49 employees,1-2,0-999
9465,22-24,Man,Russia,Master’s degree,Data Scientist,1-3 years,4,2-3 years,Computers/Technology,50-249 employees,15-19,"20,000-24,999"
9466,35-39,Man,UK,Professional doctorate,Data Scientist,5-10 years,3,5-10 years,Computers/Technology,0-49 employees,5-9,"150,000-199,999"
9467,18-21,Man,India,Bachelor’s degree,Other,1-3 years,1,2-3 years,Computers/Technology,0-49 employees,3-4,0-999
9468,35-39,Man,Thailand,Bachelor’s degree,Other,1-3 years,1,Under 1 year,Manufacturing/Fabrication,250-999 employees,0,"70,000-79,999"
9469,18-21,Man,China,Some college no bachelor,Student,< 1 years,4,1-2 years,,,,nan
9470,18-21,Other,India,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
9471,22-24,Man,India,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
9472,40-44,Man,South Korea,Doctoral degree,Data Scientist,20+ years,1,10-20 years,Academics/Education,"1000-9,999 employees",0,"7,500-9,999"
9473,40-44,Woman,UK,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,"10,000 or more employees",20+,"60,000-69,999"
9474,40-44,Man,India,Bachelor’s degree,Software Engineer,10-20 years,2,3-4 years,,,,nan
9475,50-54,Man,Philippines,Some college no bachelor,Business Analyst,< 1 years,1,Under 1 year,Shipping/Transportation,0-49 employees,1-2,"7,500-9,999"
9476,18-21,Man,India,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
9477,35-39,Man,India,Master’s degree,Product Manager,5-10 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",10-14,"2,000-2,999"
9478,35-39,Woman,India,Doctoral degree,Research Scientist,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,nan
9479,18-21,Man,India,Some college no bachelor,Student,3-5 years,6,1-2 years,,,,nan
9480,22-24,Man,India,Master’s degree,Machine Learning Engineer,3-5 years,3,1-2 years,Computers/Technology,0-49 employees,3-4,0-999
9481,35-39,Man,Brazil,Bachelor’s degree,Student,1-3 years,1,1-2 years,,,,nan
9482,22-24,Woman,India,Master’s degree,Business Analyst,1-3 years,2,1-2 years,Other,"10,000 or more employees",10-14,"4,000-4,999"
9483,25-29,Man,India,Master’s degree,Student,3-5 years,2,1-2 years,,,,nan
9484,35-39,Man,Japan,Master’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,250-999 employees,3-4,"50,000-59,999"
9485,50-54,Man,South Korea,Bachelor’s degree,Other,3-5 years,2,1-2 years,Computers/Technology,"1000-9,999 employees",0,"125,000-149,999"
9486,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,10,Under 1 year,,,,nan
9487,25-29,Man,Kenya,Master’s degree,Research Scientist,1-3 years,3,,,,,nan
9488,35-39,Man,Australia,Bachelor’s degree,Software Engineer,5-10 years,3,1-2 years,Academics/Education,0-49 employees,1-2,"70,000-79,999"
9489,30-34,Woman,USA,Doctoral degree,Data Scientist,3-5 years,3,2-3 years,Government/Public Service,"10,000 or more employees",1-2,"100,000-124,999"
9490,25-29,Man,Turkey,Bachelor’s degree,Machine Learning Engineer,5-10 years,5,4-5 years,Medical/Pharmaceutical,"1000-9,999 employees",20+,"25,000-29,999"
9491,18-21,Man,India,Bachelor’s degree,Student,1-3 years,3,No experience,,,,nan
9492,22-24,Woman,India,Master’s degree,Data Analyst,3-5 years,1,1-2 years,Academics/Education,0-49 employees,1-2,0-999
9493,40-44,Man,India,Master’s degree,Program/Project Manager,20+ years,2,2-3 years,Computers/Technology,"10,000 or more employees",20+,"30,000-39,999"
9494,25-29,Woman,India,Master’s degree,Data Analyst,< 1 years,2,No experience,Computers/Technology,0-49 employees,5-9,"4,000-4,999"
9495,35-39,Man,Japan,Bachelor’s degree,Program/Project Manager,10-20 years,1,2-3 years,Computers/Technology,"10,000 or more employees",0,"80,000-89,999"
9496,25-29,Man,Spain,Master’s degree,Data Engineer,1-3 years,1,1-2 years,Marketing/CRM,0-49 employees,10-14,nan
9497,45-49,Man,Australia,High school,Other,< 1 years,1,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,"150,000-199,999"
9498,22-24,Man,Morocco,Bachelor’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,50-249 employees,10-14,"15,000-19,999"
9499,35-39,Man,Nigeria,Bachelor’s degree,Data Analyst,5-10 years,2,1-2 years,Government/Public Service,0-49 employees,3-4,0-999
9500,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
9501,35-39,Man,USA,Master’s degree,Data Scientist,10-20 years,6,10-20 years,Computers/Technology,250-999 employees,20+,"150,000-199,999"
9502,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",10-14,"1,000-1,999"
9503,22-24,Man,Poland,Master’s degree,Software Engineer,1-3 years,1,No experience,Accounting/Finance,250-999 employees,1-2,"2,000-2,999"
9504,30-34,Man,USA,Bachelor’s degree,Software Engineer,5-10 years,5,No experience,Computers/Technology,"10,000 or more employees",0,"90,000-99,999"
9505,35-39,Man,Other,I prefer not to answer,Other,< 1 years,2,Under 1 year,Shipping/Transportation,"1000-9,999 employees",20+,"3,000-3,999"
9506,25-29,Man,Spain,Master’s degree,Student,1-3 years,2,No experience,,,,nan
9507,18-21,Man,Egypt,Some college no bachelor,Data Scientist,1-3 years,1,1-2 years,Academics/Education,0-49 employees,0,0-999
9508,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
9509,18-21,Man,India,Bachelor’s degree,Student,3-5 years,7,1-2 years,,,,nan
9510,35-39,Woman,Romania,Master’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
9511,25-29,Man,Nigeria,Master’s degree,Program/Project Manager,1-3 years,1,No experience,Accounting/Finance,"1000-9,999 employees",20+,"5,000-7,499"
9512,35-39,Man,USA,Master’s degree,Machine Learning Engineer,10-20 years,3,2-3 years,Retail/Sales,"10,000 or more employees",20+,0-999
9513,22-24,Man,Japan,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
9514,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,3,No experience,Computers/Technology,250-999 employees,5-9,"40,000-49,999"
9515,22-24,Man,Philippines,I prefer not to answer,Student,< 1 years,5,Under 1 year,,,,nan
9516,18-21,Man,Brazil,Bachelor’s degree,Business Analyst,5-10 years,3,2-3 years,Medical/Pharmaceutical,0-49 employees,1-2,"4,000-4,999"
9517,60-69,Man,Brazil,Doctoral degree,Research Scientist,5-10 years,3,4-5 years,Academics/Education,250-999 employees,10-14,"50,000-59,999"
9518,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,2,No experience,,,,nan
9519,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,0-49 employees,15-19,0-999
9520,30-34,Man,USA,Master’s degree,Data Engineer,5-10 years,7,1-2 years,Insurance/Risk Assessment,"1000-9,999 employees",3-4,"80,000-89,999"
9521,35-39,Man,Other,Master’s degree,Machine Learning Engineer,20+ years,2,5-10 years,Computers/Technology,"1000-9,999 employees",10-14,"30,000-39,999"
9522,22-24,Man,India,Master’s degree,Data Engineer,< 1 years,2,No experience,Computers/Technology,"1000-9,999 employees",20+,nan
9523,30-34,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,2,1-2 years,Online Service/Internet-based Services,0-49 employees,1-2,"30,000-39,999"
9524,35-39,Man,Mexico,Professional doctorate,Statistician,10-20 years,6,,,,,nan
9525,18-21,Man,China,Some college no bachelor,Student,< 1 years,2,No experience,,,,nan
9526,25-29,Woman,Australia,Master’s degree,Data Scientist,1-3 years,4,Under 1 year,Academics/Education,0-49 employees,0,0-999
9527,25-29,Man,Nigeria,Bachelor’s degree,Currently not employed,3-5 years,1,Under 1 year,,,,nan
9528,40-44,Woman,Indonesia,Doctoral degree,Research Scientist,< 1 years,2,Under 1 year,Academics/Education,250-999 employees,1-2,nan
9529,25-29,Man,Indonesia,Master’s degree,Other,No experience,0,,Academics/Education,0-49 employees,0,"2,000-2,999"
9530,18-21,Man,Ukraine,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999
9531,18-21,Man,USA,Bachelor’s degree,Student,1-3 years,2,No experience,,,,nan
9532,25-29,Woman,Russia,Bachelor’s degree,Data Scientist,No experience,0,,Computers/Technology,"1000-9,999 employees",0,"1,000-1,999"
9533,18-21,Man,Spain,Bachelor’s degree,Student,< 1 years,1,No experience,,,,nan
9534,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,3,2-3 years,Accounting/Finance,"10,000 or more employees",5-9,"7,500-9,999"
9535,18-21,Man,USA,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
9536,50-54,Man,Other,Bachelor’s degree,Data Scientist,3-5 years,1,3-4 years,Government/Public Service,0-49 employees,1-2,nan
9537,30-34,Man,Indonesia,Some college no bachelor,Other,5-10 years,4,No experience,Retail/Sales,250-999 employees,0,"15,000-19,999"
9538,25-29,Woman,Portugal,Master’s degree,Business Analyst,3-5 years,4,Under 1 year,Shipping/Transportation,"1000-9,999 employees",3-4,"15,000-19,999"
9539,40-44,Woman,Turkey,Doctoral degree,Data Scientist,10-20 years,7,4-5 years,Government/Public Service,0-49 employees,3-4,"10,000-14,999"
9540,30-34,Woman,Russia,Master’s degree,Other,< 1 years,2,No experience,Manufacturing/Fabrication,50-249 employees,0,0-999
9541,25-29,Man,Kenya,Bachelor’s degree,Student,< 1 years,1,Under 1 year,,,,nan
9542,60-69,Man,Other,Master’s degree,Statistician,20+ years,1,No experience,Government/Public Service,"10,000 or more employees",20+,0-999
9543,22-24,Man,Other,Bachelor’s degree,Student,< 1 years,3,No experience,,,,nan
9544,22-24,Man,India,Master’s degree,Student,< 1 years,2,Under 1 year,,,,nan
9545,35-39,Man,Other,Master’s degree,Student,< 1 years,1,Under 1 year,,,,nan
9546,40-44,Woman,Argentina,Doctoral degree,Data Scientist,3-5 years,2,3-4 years,Accounting/Finance,"1000-9,999 employees",10-14,"40,000-49,999"
9547,30-34,Woman,Greece,Doctoral degree,Currently not employed,5-10 years,2,4-5 years,,,,nan
9548,30-34,Man,Japan,High school,Software Engineer,3-5 years,1,Under 1 year,Online Service/Internet-based Services,"10,000 or more employees",20+,"50,000-59,999"
9549,25-29,Man,Brazil,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
9550,18-21,Man,Morocco,Bachelor’s degree,Data Scientist,< 1 years,3,No experience,Computers/Technology,0-49 employees,1-2,"100,000-124,999"
9551,22-24,Man,Peru,Bachelor’s degree,Statistician,3-5 years,3,Under 1 year,Retail/Sales,0-49 employees,1-2,0-999
9552,22-24,Woman,Morocco,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,"10,000 or more employees",3-4,0-999
9553,35-39,Woman,UK,Bachelor’s degree,Data Analyst,10-20 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",10-14,"70,000-79,999"
9554,25-29,Man,Bangladesh,Bachelor’s degree,Currently not employed,No experience,0,,,,,nan
9555,70+,Man,Brazil,Doctoral degree,Other,20+ years,3,2-3 years,Academics/Education,0-49 employees,1-2,"10,000-14,999"
9556,22-24,Man,Kazakhstan,Bachelor’s degree,Student,3-5 years,1,1-2 years,,,,nan
9557,22-24,Man,Kenya,Bachelor’s degree,Data Scientist,1-3 years,1,Under 1 year,Energy/Mining,0-49 employees,3-4,"2,000-2,999"
9558,30-34,Man,USA,Master’s degree,Data Scientist,5-10 years,4,No experience,,,,nan
9559,30-34,Man,Spain,Master’s degree,Statistician,5-10 years,1,5-10 years,Government/Public Service,"1000-9,999 employees",3-4,"30,000-39,999"
9560,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,0-999
9561,30-34,Woman,Brazil,Bachelor’s degree,Data Analyst,< 1 years,3,Under 1 year,Online Service/Internet-based Services,50-249 employees,15-19,"10,000-14,999"
9562,35-39,Man,Japan,Master’s degree,Data Engineer,10-20 years,1,5-10 years,Other,250-999 employees,10-14,"60,000-69,999"
9563,50-54,Woman,USA,Master’s degree,Program/Project Manager,3-5 years,3,1-2 years,Broadcasting/Communications,"10,000 or more employees",1-2,"100,000-124,999"
9564,30-34,Man,Japan,Some college no bachelor,Other,< 1 years,2,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",0,"50,000-59,999"
9565,18-21,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,6,1-2 years,Academics/Education,0-49 employees,0,0-999
9566,25-29,Man,Russia,Bachelor’s degree,Software Engineer,< 1 years,2,Under 1 year,Computers/Technology,50-249 employees,1-2,0-999
9567,30-34,Man,Egypt,Bachelor’s degree,Data Analyst,No experience,0,,Accounting/Finance,250-999 employees,0,0-999
9568,45-49,Woman,USA,Master’s degree,Currently not employed,< 1 years,3,1-2 years,,,,nan
9569,22-24,Man,Bangladesh,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
9570,35-39,Man,Iran,Master’s degree,Machine Learning Engineer,< 1 years,3,Under 1 year,Non-profit/Service,0-49 employees,1-2,0-999
9571,25-29,Man,Turkey,Bachelor’s degree,Software Engineer,< 1 years,3,No experience,Academics/Education,0-49 employees,5-9,0-999
9572,22-24,Man,China,Master’s degree,Student,< 1 years,5,No experience,,,,nan
9573,40-44,Man,Japan,I prefer not to answer,Software Engineer,10-20 years,6,Under 1 year,Accounting/Finance,250-999 employees,1-2,"60,000-69,999"
9574,40-44,Man,Ukraine,Bachelor’s degree,Data Engineer,10-20 years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,"30,000-39,999"
9575,18-21,Woman,UK,Bachelor’s degree,Student,3-5 years,3,,,,,nan
9576,25-29,Man,Australia,Master’s degree,Student,< 1 years,2,No experience,,,,nan
9577,25-29,Man,Pakistan,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,,,,nan
9578,25-29,Man,Other,Master’s degree,Software Engineer,< 1 years,2,Under 1 year,Marketing/CRM,50-249 employees,0,0-999
9579,40-44,Man,Germany,Doctoral degree,Research Scientist,5-10 years,1,4-5 years,Academics/Education,"1000-9,999 employees",20+,"70,000-79,999"
9580,40-44,Man,India,Doctoral degree,Other,10-20 years,4,Under 1 year,Academics/Education,50-249 employees,1-2,"15,000-19,999"
9581,30-34,Man,Japan,Master’s degree,Software Engineer,3-5 years,6,Under 1 year,Computers/Technology,"1000-9,999 employees",3-4,"50,000-59,999"
9582,30-34,Man,USA,Professional doctorate,Software Engineer,3-5 years,4,Under 1 year,Computers/Technology,50-249 employees,5-9,"100,000-124,999"
9583,25-29,Man,Spain,Some college no bachelor,Software Engineer,3-5 years,8,2-3 years,Non-profit/Service,0-49 employees,0,0-999
9584,30-34,Man,USA,Master’s degree,Business Analyst,5-10 years,4,1-2 years,Retail/Sales,"1000-9,999 employees",10-14,"125,000-149,999"
9585,35-39,Man,Peru,Master’s degree,Data Analyst,1-3 years,1,Under 1 year,Medical/Pharmaceutical,250-999 employees,5-9,"3,000-3,999"
9586,30-34,Man,Other,Doctoral degree,Data Scientist,3-5 years,3,Under 1 year,Non-profit/Service,"10,000 or more employees",0,0-999
9587,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,3,Under 1 year,Computers/Technology,0-49 employees,0,"30,000-39,999"
9588,25-29,Man,Sri Lanka,Master’s degree,Student,< 1 years,2,1-2 years,,,,nan
9589,18-21,Man,India,Bachelor’s degree,Student,3-5 years,3,1-2 years,,,,nan
9590,40-44,Man,India,Master’s degree,Business Analyst,3-5 years,2,2-3 years,Computers/Technology,"10,000 or more employees",10-14,"15,000-19,999"
9591,18-21,Man,Brazil,Bachelor’s degree,Student,3-5 years,3,,,,,nan
9592,25-29,Man,Iran,Professional doctorate,Other,1-3 years,1,Under 1 year,Medical/Pharmaceutical,0-49 employees,1-2,"2,000-2,999"
