,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
5639,30-34,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
5640,25-29,Man,USA,Master’s degree,3,Under 1 year,Accounting/Finance,Large,112500.0,Data Scientist
5641,25-29,Man,India,Master’s degree,3,1-2 years,Insurance/Risk Assessment,Large,35000.0,Data Analyst
5642,40-44,Woman,France,Professional doctorate,2,4-5 years,Other,Small,27500.0,Data Scientist
5643,50-54,Man,India,Doctoral degree,2,2-3 years,Academics/Education,Medium,65000.0,Other
5644,45-49,Man,USA,Master’s degree,2,Under 1 year,Academics/Education,Large,95000.0,Data Engineer
5646,25-29,Man,India,Master’s degree,3,No experience,Computers/Technology,Large,17500.0,Data Analyst
5647,25-29,Woman,India,Master’s degree,4,4-5 years,Academics/Education,Large,500.0,Other
5648,40-44,Man,India,Bachelor’s degree,1,Under 1 year,Accounting/Finance,Large,35000.0,Data Analyst
5651,18-21,Man,India,Master’s degree,3,Under 1 year,Military/Security/Defense,Small,500.0,Data Scientist
5659,50-54,Man,Spain,Bachelor’s degree,3,Under 1 year,Energy/Mining,Large,45000.0,Data Engineer
5660,22-24,Man,Ukraine,Master’s degree,3,2-3 years,Non-profit/Service,Small,55000.0,Data Engineer
5662,25-29,Man,India,Bachelor’s degree,3,No experience,Computers/Technology,Large,500.0,Data Engineer
5672,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Other,Small,500.0,Data Scientist
5673,40-44,Man,Russia,I prefer not to answer,1,Under 1 year,Academics/Education,Small,2500.0,Data Engineer
5678,22-24,Other,India,Master’s degree,2,1-2 years,Marketing/CRM,Medium,4500.0,Data Scientist
5679,30-34,Man,Spain,Master’s degree,4,No experience,Insurance/Risk Assessment,Large,27500.0,Data Engineer
5680,22-24,Man,India,Master’s degree,3,1-2 years,Broadcasting/Communications,Large,17500.0,Data Analyst
5688,30-34,Man,UK,Master’s degree,3,Under 1 year,Manufacturing/Fabrication,Large,17500.0,Data Engineer
5690,45-49,Man,USA,Doctoral degree,4,1-2 years,Computers/Technology,Large,500.0,Data Scientist
5693,35-39,Woman,Russia,Some college,2,No experience,Retail/Sales,Medium,12500.0,Data Scientist
5694,35-39,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Small,2500.0,Data Scientist
5697,25-29,Woman,India,Master’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Scientist
5704,35-39,Man,India,Master’s degree,2,1-2 years,Manufacturing/Fabrication,Large,55000.0,Other
5705,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,1500.0,Data Analyst
5708,55-59,Man,Austria,Bachelor’s degree,1,5-10 years,Computers/Technology,Small,35000.0,Data Analyst
5709,55-59,Man,Netherlands,Master’s degree,2,Under 1 year,Medical/Pharmaceutical,Small,35000.0,Data Scientist
5710,22-24,Man,India,Master’s degree,3,Under 1 year,Marketing/CRM,Medium,500.0,Data Analyst
5711,40-44,Man,UK,Master’s degree,3,5-10 years,Accounting/Finance,Large,95000.0,Data Engineer
5712,18-21,Man,India,I prefer not to answer,3,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
5719,40-44,Man,USA,Doctoral degree,3,10-20 years,Marketing/CRM,Large,175000.0,Data Scientist
5720,25-29,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,4500.0,Other
5727,22-24,Woman,India,Master’s degree,3,Under 1 year,Online Service/Internet-based Services,Medium,3500.0,Data Analyst
5731,30-34,Man,India,Master’s degree,4,Under 1 year,Accounting/Finance,Large,27500.0,Data Engineer
5732,35-39,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Medium,500.0,Data Engineer
5733,22-24,Man,India,Master’s degree,3,Under 1 year,Computers/Technology,Medium,12500.0,Data Analyst
5738,25-29,Woman,Spain,Master’s degree,2,No experience,Retail/Sales,Large,27500.0,Data Analyst
5744,25-29,Woman,India,Master’s degree,1,3-4 years,Computers/Technology,Small,500.0,Data Scientist
5747,30-34,Man,USA,Master’s degree,1,No experience,Accounting/Finance,Medium,175000.0,Other
5748,22-24,Man,India,Bachelor’s degree,2,1-2 years,Academics/Education,Small,12500.0,Data Scientist
5752,25-29,Man,Ukraine,Some college,1,4-5 years,Computers/Technology,Large,75000.0,Data Scientist
5754,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Engineer
5756,25-29,Man,India,Master’s degree,2,4-5 years,Online Service/Internet-based Services,Large,35000.0,Data Scientist
5760,45-49,Woman,UK,Doctoral degree,3,Under 1 year,Computers/Technology,Small,17500.0,Data Engineer
5762,25-29,Man,India,Master’s degree,3,No experience,Insurance/Risk Assessment,Large,6250.0,Data Analyst
5765,22-24,Man,USA,Bachelor’s degree,2,2-3 years,Broadcasting/Communications,Large,112500.0,Data Engineer
5768,55-59,Man,Netherlands,Bachelor’s degree,1,3-4 years,Other,Large,75000.0,Other
5770,55-59,Woman,USA,Master’s degree,2,1-2 years,Medical/Pharmaceutical,Large,85000.0,Data Scientist
5775,25-29,Man,India,Bachelor’s degree,3,2-3 years,Hospitality/Entertainment/Sports,Large,12500.0,Data Scientist
5779,25-29,Woman,India,Master’s degree,2,Under 1 year,Academics/Education,Large,1500.0,Data Analyst
5781,35-39,Woman,USA,Master’s degree,1,Under 1 year,Insurance/Risk Assessment,Large,112500.0,Data Analyst
5782,35-39,Woman,India,Master’s degree,2,Under 1 year,Medical/Pharmaceutical,Large,22500.0,Data Engineer
5783,50-54,Woman,Belgium,Master’s degree,3,Under 1 year,Government/Public Service,Large,112500.0,Data Analyst
5784,45-49,Man,Greece,Master’s degree,3,Under 1 year,Academics/Education,Large,12500.0,Data Scientist
5786,30-34,Woman,India,Master’s degree,3,5-10 years,Accounting/Finance,Medium,22500.0,Data Scientist
5790,25-29,Man,India,Master’s degree,4,Under 1 year,Other,Large,12500.0,Data Analyst
5791,18-21,Woman,India,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Analyst
5792,25-29,Man,India,Bachelor’s degree,1,1-2 years,Online Business/Internet-based Sales,Small,4500.0,Data Scientist
5793,45-49,Man,India,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Large,12500.0,Other
5794,22-24,Woman,India,Bachelor’s degree,1,No experience,Insurance/Risk Assessment,Large,6250.0,Other
5795,45-49,Man,UK,Master’s degree,2,2-3 years,Accounting/Finance,Small,45000.0,Data Scientist
5797,30-34,Man,USA,Bachelor’s degree,3,1-2 years,Marketing/CRM,Medium,137500.0,Data Engineer
5800,30-34,Man,India,Bachelor’s degree,3,3-4 years,Computers/Technology,Large,17500.0,Data Analyst
5801,35-39,Man,UK,Bachelor’s degree,3,No experience,Retail/Sales,Large,45000.0,Other
5802,25-29,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Medium,12500.0,Data Scientist
5805,30-34,Woman,India,Master’s degree,1,Under 1 year,Online Service/Internet-based Services,Medium,500.0,Data Scientist
5806,25-29,Man,India,Master’s degree,3,Under 1 year,Manufacturing/Fabrication,Large,27500.0,Other
5808,30-34,Man,UK,Doctoral degree,3,5-10 years,Insurance/Risk Assessment,Small,112500.0,Data Scientist
5809,18-21,Man,Ukraine,Bachelor’s degree,1,1-2 years,Computers/Technology,Large,500.0,Data Scientist
5810,35-39,Man,Poland,Master’s degree,2,Under 1 year,Marketing/CRM,Medium,1500.0,Data Analyst
5812,25-29,Woman,UK,Master’s degree,1,5-10 years,Online Service/Internet-based Services,Large,137500.0,Data Engineer
5813,50-54,Man,USA,Some college,3,1-2 years,Medical/Pharmaceutical,Large,137500.0,Data Engineer
5816,45-49,Woman,France,Doctoral degree,3,2-3 years,Online Service/Internet-based Services,Large,75000.0,Data Engineer
5821,50-54,Man,France,Doctoral degree,1,20 or more years,Academics/Education,Large,137500.0,Data Scientist
5822,30-34,Man,UK,Master’s degree,2,1-2 years,Energy/Mining,Medium,65000.0,Data Scientist
5823,35-39,Woman,India,Master’s degree,2,5-10 years,Computers/Technology,Small,1500.0,Data Analyst
5828,25-29,Man,India,Master’s degree,1,3-4 years,Hospitality/Entertainment/Sports,Large,12500.0,Data Scientist
5829,22-24,Man,India,Master’s degree,3,Under 1 year,Online Service/Internet-based Services,Large,500.0,Data Engineer
5830,22-24,Man,UK,Master’s degree,1,Under 1 year,Insurance/Risk Assessment,Large,35000.0,Data Scientist
5831,40-44,Man,India,Master’s degree,3,3-4 years,Online Service/Internet-based Services,Large,85000.0,Other
5834,40-44,Woman,France,Master’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Scientist
5835,40-44,Woman,USA,Doctoral degree,3,2-3 years,Computers/Technology,Large,112500.0,Data Scientist
5840,22-24,Woman,India,Master’s degree,2,Under 1 year,Broadcasting/Communications,Medium,8750.0,Data Analyst
5843,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
5844,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
5846,50-54,Man,Russia,Master’s degree,3,4-5 years,Academics/Education,Medium,500.0,Data Engineer
5847,30-34,Man,Netherlands,Some college,3,1-2 years,Insurance/Risk Assessment,Large,55000.0,Data Engineer
5848,45-49,Other,Spain,Master’s degree,1,Under 1 year,Military/Security/Defense,Large,45000.0,Data Analyst
5852,25-29,Man,India,Bachelor’s degree,1,1-2 years,Manufacturing/Fabrication,Large,17500.0,Data Engineer
5854,30-34,Woman,Spain,Bachelor’s degree,2,Under 1 year,Medical/Pharmaceutical,Large,35000.0,Data Analyst
5856,22-24,Woman,India,Master’s degree,3,No experience,Computers/Technology,Large,8750.0,Data Engineer
5857,25-29,Man,Russia,Doctoral degree,2,No experience,Academics/Education,Large,17500.0,Data Scientist
5859,25-29,Man,Germany,Master’s degree,2,3-4 years,Online Business/Internet-based Sales,Large,75000.0,Data Scientist
5860,30-34,Man,India,Master’s degree,3,Under 1 year,Online Service/Internet-based Services,Large,22500.0,Data Analyst
5862,30-34,Man,Germany,Master’s degree,1,2-3 years,Academics/Education,Medium,55000.0,Data Scientist
5863,30-34,Man,France,Doctoral degree,3,3-4 years,Medical/Pharmaceutical,Large,65000.0,Data Scientist
5865,30-34,Woman,India,Master’s degree,1,1-2 years,Broadcasting/Communications,Large,500.0,Data Engineer
5866,30-34,Man,India,Professional doctorate,1,Under 1 year,Accounting/Finance,Medium,6250.0,Data Analyst
5869,30-34,Man,Spain,Master’s degree,3,4-5 years,Accounting/Finance,Large,75000.0,Data Scientist
5870,25-29,Man,India,Master’s degree,1,Under 1 year,Marketing/CRM,Large,500.0,Other
5871,30-34,Man,France,Master’s degree,3,Under 1 year,Shipping/Transportation,Large,35000.0,Other
5873,25-29,Man,USA,Bachelor’s degree,3,Under 1 year,Accounting/Finance,Large,65000.0,Data Analyst
5875,30-34,Man,USA,Doctoral degree,2,Under 1 year,Non-profit/Service,Large,17500.0,Data Scientist
5876,18-21,Man,Czech Republic,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,12500.0,Data Engineer
5877,35-39,Woman,Portugal,Master’s degree,2,Under 1 year,Academics/Education,Medium,6250.0,Data Scientist
5880,22-24,Man,India,Master’s degree,2,Under 1 year,Computers/Technology,Large,6250.0,Data Analyst
5881,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,6250.0,Other
5883,18-21,Man,India,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,1500.0,Data Engineer
5885,25-29,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Medium,500.0,Data Scientist
5888,55-59,Man,Belgium,Master’s degree,3,Under 1 year,Insurance/Risk Assessment,Large,65000.0,Data Analyst
5891,25-29,Man,India,Bachelor’s degree,4,Under 1 year,Accounting/Finance,Large,8750.0,Data Engineer
5892,30-34,Man,USA,Bachelor’s degree,3,No experience,Military/Security/Defense,Large,95000.0,Data Engineer
5894,22-24,Man,India,Bachelor’s degree,1,1-2 years,Online Service/Internet-based Services,Large,500.0,Data Engineer
5895,30-34,Man,USA,Doctoral degree,1,2-3 years,Manufacturing/Fabrication,Large,175000.0,Data Scientist
5898,45-49,Man,Switzerland,Professional doctorate,2,3-4 years,Academics/Education,Large,500.0,Data Scientist
5899,30-34,Man,USA,Master’s degree,2,4-5 years,Other,Large,95000.0,Data Scientist
5900,50-54,Woman,France,Professional doctorate,4,10-20 years,Academics/Education,Large,55000.0,Data Scientist
5904,35-39,Man,USA,Doctoral degree,3,4-5 years,Other,Medium,175000.0,Data Scientist
5905,50-54,Man,India,Master’s degree,3,10-20 years,Computers/Technology,Large,112500.0,Data Scientist
5910,25-29,Man,USA,Master’s degree,2,Under 1 year,Academics/Education,Large,22500.0,Data Engineer
5914,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Online Service/Internet-based Services,Large,4500.0,Data Scientist
5916,25-29,Woman,Netherlands,Master’s degree,1,Under 1 year,Other,Large,55000.0,Data Analyst
5917,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
5918,22-24,Man,Russia,Some college,3,Under 1 year,Online Service/Internet-based Services,Small,1500.0,Data Engineer
5922,25-29,Man,India,Bachelor’s degree,1,4-5 years,Computers/Technology,Large,17500.0,Data Engineer
5924,25-29,Man,France,Doctoral degree,4,2-3 years,Academics/Education,Medium,17500.0,Data Scientist
5927,40-44,Woman,Greece,Master’s degree,1,2-3 years,Marketing/CRM,Medium,500.0,Data Scientist
5930,30-34,Man,Spain,Master’s degree,3,5-10 years,Medical/Pharmaceutical,Large,75000.0,Data Scientist
5932,50-54,Other,USA,Professional doctorate,2,2-3 years,Academics/Education,Large,500.0,Data Analyst
5935,25-29,Man,India,Bachelor’s degree,1,1-2 years,Other,Small,500.0,Data Scientist
5936,35-39,Woman,USA,Master’s degree,3,2-3 years,Accounting/Finance,Large,137500.0,Data Engineer
5937,25-29,Man,USA,Doctoral degree,2,2-3 years,Academics/Education,Medium,17500.0,Data Analyst
5938,45-49,Man,India,Master’s degree,2,10-20 years,Marketing/CRM,Small,65000.0,Data Analyst
5939,25-29,Woman,Greece,Doctoral degree,3,2-3 years,Military/Security/Defense,Small,1500.0,Other
5945,25-29,Man,India,Professional doctorate,4,4-5 years,Other,Large,4500.0,Data Engineer
5946,40-44,Man,India,Master’s degree,2,1-2 years,Computers/Technology,Large,55000.0,Data Analyst
5947,25-29,Man,USA,Bachelor’s degree,2,4-5 years,Medical/Pharmaceutical,Large,137500.0,Data Scientist
5948,40-44,Woman,USA,Bachelor’s degree,3,Under 1 year,Online Service/Internet-based Services,Small,45000.0,Data Analyst
5949,30-34,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Medium,22500.0,Data Engineer
5950,30-34,Woman,USA,Master’s degree,2,No experience,Government/Public Service,Small,65000.0,Data Analyst
5951,35-39,Man,India,Master’s degree,1,3-4 years,Computers/Technology,Large,22500.0,Data Analyst
5954,22-24,Man,India,Bachelor’s degree,1,1-2 years,Medical/Pharmaceutical,Large,500.0,Other
5955,30-34,Man,India,Bachelor’s degree,1,1-2 years,Medical/Pharmaceutical,Medium,6250.0,Data Scientist
5957,30-34,Woman,India,Doctoral degree,3,Under 1 year,Academics/Education,Large,500.0,Other
5960,45-49,Man,India,Master’s degree,1,1-2 years,Manufacturing/Fabrication,Large,45000.0,Data Analyst
5961,22-24,Woman,USA,Bachelor’s degree,2,2-3 years,Computers/Technology,Large,95000.0,Data Engineer
5967,35-39,Woman,UK,Doctoral degree,2,1-2 years,Medical/Pharmaceutical,Large,27500.0,Data Analyst
5968,22-24,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Small,500.0,Data Engineer
5971,35-39,Man,USA,Master’s degree,3,5-10 years,Broadcasting/Communications,Large,175000.0,Data Analyst
5975,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Medium,6250.0,Data Scientist
5977,30-34,Man,Russia,Master’s degree,4,1-2 years,Accounting/Finance,Large,27500.0,Data Engineer
5978,25-29,Man,India,Bachelor’s degree,4,3-4 years,Other,Large,1500.0,Data Scientist
5980,25-29,Man,India,I prefer not to answer,1,Under 1 year,Other,Small,500.0,Data Scientist
5981,30-34,Man,Germany,Master’s degree,2,1-2 years,Academics/Education,Large,45000.0,Data Scientist
5984,50-54,Man,Spain,Master’s degree,3,10-20 years,Insurance/Risk Assessment,Medium,35000.0,Data Engineer
5987,25-29,Man,India,Master’s degree,2,1-2 years,Computers/Technology,Large,12500.0,Other
5991,30-34,Man,India,Master’s degree,4,Under 1 year,Accounting/Finance,Large,17500.0,Data Analyst
5993,25-29,Other,India,Master’s degree,3,5-10 years,Accounting/Finance,Large,27500.0,Data Scientist
5994,30-34,Man,Russia,Doctoral degree,2,2-3 years,Accounting/Finance,Large,22500.0,Data Scientist
5996,30-34,Man,USA,Master’s degree,3,Under 1 year,Manufacturing/Fabrication,Small,75000.0,Other
6000,45-49,Man,USA,Doctoral degree,2,10-20 years,Academics/Education,Large,137500.0,Data Scientist
6003,40-44,Man,USA,Doctoral degree,2,Under 1 year,Academics/Education,Large,55000.0,Other
6004,25-29,Woman,India,Master’s degree,3,4-5 years,Retail/Sales,Large,22500.0,Data Scientist
6005,30-34,Man,India,Doctoral degree,2,1-2 years,Academics/Education,Medium,12500.0,Data Scientist
6006,30-34,Man,India,Master’s degree,2,Under 1 year,Online Business/Internet-based Sales,Small,17500.0,Data Analyst
6011,45-49,Man,USA,Doctoral degree,4,5-10 years,Academics/Education,Large,35000.0,Data Scientist
6012,50-54,Man,India,Master’s degree,2,3-4 years,Academics/Education,Large,12500.0,Data Scientist
6015,35-39,Woman,Germany,Master’s degree,2,1-2 years,Broadcasting/Communications,Large,112500.0,Data Engineer
6018,55-59,Man,Austria,Some college,3,1-2 years,Computers/Technology,Small,35000.0,Data Engineer
6020,30-34,Man,Ireland,Master’s degree,1,1-2 years,Accounting/Finance,Medium,75000.0,Data Analyst
6022,25-29,Man,USA,Master’s degree,1,4-5 years,Computers/Technology,Large,85000.0,Data Scientist
6025,45-49,Man,USA,Bachelor’s degree,4,2-3 years,Academics/Education,Large,65000.0,Data Analyst
6028,22-24,Man,India,Master’s degree,2,No experience,Computers/Technology,Large,6250.0,Data Engineer
6031,40-44,Man,India,Master’s degree,2,10-20 years,Computers/Technology,Large,75000.0,Data Scientist
6033,25-29,Woman,India,Bachelor’s degree,3,4-5 years,Insurance/Risk Assessment,Large,22500.0,Data Analyst
6034,22-24,Woman,India,Master’s degree,2,2-3 years,Broadcasting/Communications,Small,6250.0,Data Scientist
6035,25-29,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Small,65000.0,Data Scientist
6036,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,2500.0,Other
6037,18-21,Man,India,Bachelor’s degree,4,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
6038,18-21,Other,India,Some college,1,No experience,Academics/Education,Small,500.0,Data Scientist
6044,35-39,Man,Portugal,Doctoral degree,3,2-3 years,Academics/Education,Large,17500.0,Data Scientist
6045,25-29,Man,India,Master’s degree,1,1-2 years,Non-profit/Service,Large,500.0,Data Engineer
6047,25-29,Man,Switzerland,Master’s degree,2,3-4 years,Insurance/Risk Assessment,Large,137500.0,Data Scientist
6048,30-34,Man,India,Master’s degree,1,No experience,Retail/Sales,Small,500.0,Data Analyst
6049,40-44,Man,USA,Bachelor’s degree,4,1-2 years,Manufacturing/Fabrication,Medium,85000.0,Data Engineer
6050,30-34,Man,USA,Master’s degree,3,2-3 years,Medical/Pharmaceutical,Large,112500.0,Data Scientist
6055,30-34,Man,India,Master’s degree,3,Under 1 year,Accounting/Finance,Large,17500.0,Data Analyst
6062,25-29,Man,Russia,Doctoral degree,1,4-5 years,Computers/Technology,Small,3500.0,Data Engineer
6063,30-34,Man,Spain,Doctoral degree,1,1-2 years,Academics/Education,Medium,35000.0,Other
6064,35-39,Man,Russia,Professional doctorate,1,Under 1 year,Medical/Pharmaceutical,Large,27500.0,Data Scientist
6067,35-39,Man,India,Bachelor’s degree,1,1-2 years,Shipping/Transportation,Large,3500.0,Data Scientist
6068,22-24,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Medium,500.0,Data Engineer
6070,25-29,Man,France,Doctoral degree,3,2-3 years,Computers/Technology,Small,4500.0,Data Scientist
6074,30-34,Man,USA,Master’s degree,2,2-3 years,Academics/Education,Large,95000.0,Data Analyst
6076,30-34,Other,USA,Bachelor’s degree,3,3-4 years,Other,Large,112500.0,Data Scientist
6077,45-49,Man,USA,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,112500.0,Data Engineer
6078,25-29,Man,USA,Master’s degree,2,4-5 years,Computers/Technology,Medium,175000.0,Data Scientist
6081,18-21,Woman,Sweden,Master’s degree,3,1-2 years,Medical/Pharmaceutical,Small,500.0,Data Engineer
6082,25-29,Man,UK,Master’s degree,2,Under 1 year,Medical/Pharmaceutical,Small,45000.0,Data Analyst
6083,25-29,Woman,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,6250.0,Data Scientist
6085,18-21,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,17500.0,Data Engineer
6086,25-29,Man,India,I prefer not to answer,2,No experience,Retail/Sales,Small,12500.0,Data Analyst
6088,25-29,Man,USA,Bachelor’s degree,1,2-3 years,Medical/Pharmaceutical,Large,137500.0,Data Engineer
6093,25-29,Man,India,Master’s degree,3,1-2 years,Broadcasting/Communications,Small,500.0,Data Scientist
6098,35-39,Man,USA,Some college,2,No experience,Academics/Education,Large,65000.0,Other
6099,40-44,Man,Portugal,Doctoral degree,3,5-10 years,Accounting/Finance,Large,45000.0,Data Scientist
6104,55-59,Man,India,Master’s degree,1,2-3 years,Medical/Pharmaceutical,Medium,45000.0,Other
6105,25-29,Woman,France,Master’s degree,3,2-3 years,Insurance/Risk Assessment,Large,55000.0,Data Scientist
6106,30-34,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,500.0,Data Analyst
6108,22-24,Man,India,Bachelor’s degree,3,2-3 years,Computers/Technology,Medium,8750.0,Data Engineer
6110,22-24,Man,India,Bachelor’s degree,2,2-3 years,Online Service/Internet-based Services,Large,35000.0,Data Engineer
6115,50-54,Man,USA,Master’s degree,2,5-10 years,Computers/Technology,Small,175000.0,Data Engineer
6118,22-24,Man,India,Master’s degree,2,2-3 years,Computers/Technology,Medium,1500.0,Data Engineer
6120,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
6121,30-34,Man,Russia,Master’s degree,3,3-4 years,Computers/Technology,Small,27500.0,Data Engineer
6122,25-29,Man,UK,Doctoral degree,1,4-5 years,Online Business/Internet-based Sales,Medium,45000.0,Data Scientist
6123,18-21,Man,India,Bachelor’s degree,1,1-2 years,Other,Small,500.0,Data Engineer
6124,50-54,Man,France,Master’s degree,4,1-2 years,Manufacturing/Fabrication,Large,95000.0,Other
6127,30-34,Man,India,Master’s degree,4,2-3 years,Marketing/CRM,Large,27500.0,Data Scientist
6128,30-34,Man,India,Master’s degree,1,4-5 years,Computers/Technology,Large,12500.0,Data Engineer
6132,25-29,Man,India,Bachelor’s degree,2,No experience,Computers/Technology,Large,500.0,Data Analyst
6133,25-29,Man,Netherlands,Master’s degree,2,2-3 years,Accounting/Finance,Large,65000.0,Data Analyst
6136,18-21,Man,Belarus,Some college,4,Under 1 year,Marketing/CRM,Medium,6250.0,Data Engineer
6139,25-29,Woman,USA,Master’s degree,2,4-5 years,Computers/Technology,Large,8750.0,Data Analyst
6141,35-39,Man,Italy,Master’s degree,3,Under 1 year,Academics/Education,Small,95000.0,Data Engineer
6142,18-21,Man,India,Some college,1,No experience,Academics/Education,Small,500.0,Data Scientist
6143,22-24,Man,India,Bachelor’s degree,1,2-3 years,Computers/Technology,Large,12500.0,Data Engineer
6144,55-59,Woman,USA,Master’s degree,1,Under 1 year,Government/Public Service,Large,85000.0,Data Analyst
6147,22-24,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Small,3500.0,Data Scientist
6150,25-29,Woman,USA,Master’s degree,3,Under 1 year,Energy/Mining,Large,55000.0,Data Analyst
6151,35-39,Woman,Netherlands,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Engineer
6160,25-29,Woman,Netherlands,Master’s degree,2,No experience,Online Business/Internet-based Sales,Large,75000.0,Data Analyst
6161,45-49,Man,Germany,Master’s degree,2,4-5 years,Computers/Technology,Medium,112500.0,Data Engineer
6162,40-44,Man,India,Master’s degree,2,No experience,Computers/Technology,Large,45000.0,Data Engineer
6163,50-54,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Large,112500.0,Data Engineer
6164,30-34,Woman,USA,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,27500.0,Data Scientist
6165,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Large,35000.0,Data Engineer
6166,30-34,Man,USA,Master’s degree,4,5-10 years,Computers/Technology,Large,175000.0,Data Scientist
6168,40-44,Man,Belarus,Master’s degree,3,3-4 years,Computers/Technology,Small,12500.0,Data Analyst
6171,40-44,Woman,India,Master’s degree,2,No experience,Academics/Education,Small,500.0,Other
6172,35-39,Woman,USA,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,500.0,Data Analyst
6177,40-44,Man,USA,Master’s degree,2,Under 1 year,Computers/Technology,Large,175000.0,Data Engineer
6178,55-59,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Small,2500.0,Data Engineer
6180,22-24,Woman,UK,Bachelor’s degree,3,No experience,Military/Security/Defense,Large,45000.0,Data Engineer
6181,55-59,Man,Italy,Master’s degree,1,No experience,Broadcasting/Communications,Large,112500.0,Other
6183,18-21,Man,India,Bachelor’s degree,4,1-2 years,Academics/Education,Large,500.0,Data Engineer
6190,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Online Service/Internet-based Services,Medium,500.0,Data Engineer
6193,45-49,Man,Russia,Doctoral degree,4,4-5 years,Academics/Education,Small,1500.0,Data Analyst
6195,40-44,Man,Russia,Master’s degree,3,1-2 years,Energy/Mining,Large,12500.0,Data Scientist
6196,25-29,Man,USA,Master’s degree,2,5-10 years,Insurance/Risk Assessment,Large,175000.0,Data Scientist
6199,25-29,Woman,India,Master’s degree,3,Under 1 year,Other,Large,6250.0,Data Engineer
6200,35-39,Woman,UK,Master’s degree,3,Under 1 year,Academics/Education,Large,65000.0,Data Scientist
6201,25-29,Woman,UK,Master’s degree,4,1-2 years,Computers/Technology,Small,27500.0,Data Scientist
6205,40-44,Man,India,Master’s degree,3,Under 1 year,Other,Large,35000.0,Other
6206,25-29,Man,India,Master’s degree,3,1-2 years,Retail/Sales,Medium,8750.0,Data Engineer
6207,45-49,Man,France,Master’s degree,2,5-10 years,Online Service/Internet-based Services,Large,45000.0,Data Analyst
6208,22-24,Woman,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Medium,500.0,Data Scientist
6209,25-29,Man,UK,Bachelor’s degree,2,1-2 years,Other,Large,45000.0,Data Scientist
6210,35-39,Woman,USA,Master’s degree,2,4-5 years,Academics/Education,Large,55000.0,Data Analyst
6218,25-29,Man,USA,Master’s degree,2,1-2 years,Accounting/Finance,Large,112500.0,Data Analyst
6219,35-39,Woman,India,Professional doctorate,4,No experience,Academics/Education,Large,2500.0,Data Scientist
6220,30-34,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Large,112500.0,Data Scientist
6221,25-29,Man,Russia,Doctoral degree,3,1-2 years,Academics/Education,Medium,2500.0,Data Engineer
6222,30-34,Man,Russia,Professional doctorate,1,10-20 years,Accounting/Finance,Large,35000.0,Data Scientist
6223,35-39,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Large,1500.0,Data Engineer
