,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
7089,45-49,Man,Spain,Master’s degree,5-10 years,3,Under 1 year,Academics/Education,Small,75000.0,Data Analyst
7098,40-44,Man,Germany,Doctoral degree,20+ years,2,2-3 years,Computers/Technology,Large,137500.0,Data Engineer
7114,40-44,Man,Portugal,Master’s degree,20+ years,3,5-10 years,Computers/Technology,Large,85000.0,Data Scientist
7116,25-29,Man,Russia,Master’s degree,1-3 years,3,1-2 years,Other,Small,2500.0,Data Scientist
7126,35-39,Man,UK,Doctoral degree,3-5 years,2,5-10 years,Energy/Mining,Small,75000.0,Data Scientist
7130,25-29,Man,Russia,Master’s degree,1-3 years,2,1-2 years,Online Service/Internet-based Services,Large,12500.0,Other
7138,30-34,Man,France,Master’s degree,1-3 years,1,Under 1 year,Manufacturing/Fabrication,No team,35000.0,Other
7146,40-44,Man,Ukraine,Master’s degree,20+ years,3,2-3 years,Online Service/Internet-based Services,Small,35000.0,Data Analyst
7151,30-34,Man,Italy,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Large,22500.0,Data Scientist
7166,35-39,Man,Germany,Bachelor’s degree,10-20 years,4,Under 1 year,Manufacturing/Fabrication,Small,95000.0,Data Analyst
7169,22-24,Man,Spain,Master’s degree,1-3 years,2,1-2 years,Marketing/CRM,Medium,27500.0,Data Scientist
7172,35-39,Man,Romania,Doctoral degree,10-20 years,1,10-20 years,Academics/Education,Large,17500.0,Data Scientist
7174,45-49,Man,Ukraine,Master’s degree,20+ years,3,No experience,Accounting/Finance,Large,4500.0,Data Engineer
7179,25-29,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,No team,1500.0,Data Analyst
7184,45-49,Man,France,Master’s degree,20+ years,3,4-5 years,Broadcasting/Communications,Large,112500.0,Data Scientist
7197,40-44,Man,France,Master’s degree,5-10 years,3,No experience,Accounting/Finance,No team,112500.0,Data Analyst
7209,25-29,Man,Spain,Master’s degree,1-3 years,1,1-2 years,Academics/Education,Large,22500.0,Data Scientist
7211,30-34,Man,Greece,Doctoral degree,3-5 years,2,1-2 years,Accounting/Finance,Small,22500.0,Data Analyst
7220,50-54,Man,Spain,Master’s degree,3-5 years,2,1-2 years,Academics/Education,Small,22500.0,Data Analyst
7222,35-39,Woman,Germany,Professional doctorate,1-3 years,2,2-3 years,Academics/Education,Large,2500.0,Data Scientist
7240,22-24,Man,Ukraine,Master’s degree,1-3 years,2,1-2 years,Computers/Technology,Small,2500.0,Data Engineer
7254,35-39,Man,UK,Master’s degree,1-3 years,2,1-2 years,Government/Public Service,Medium,55000.0,Data Scientist
7267,40-44,Man,Spain,Bachelor’s degree,3-5 years,4,No experience,Academics/Education,No team,500.0,Data Analyst
7273,35-39,Man,Denmark,Doctoral degree,10-20 years,3,5-10 years,Computers/Technology,Large,500.0,Data Scientist
7277,45-49,Man,Netherlands,Bachelor’s degree,3-5 years,2,Under 1 year,Medical/Pharmaceutical,Medium,112500.0,Data Engineer
7279,30-34,Man,Italy,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Large,22500.0,Data Scientist
7282,30-34,Man,Italy,Master’s degree,10-20 years,2,4-5 years,Online Service/Internet-based Services,Small,27500.0,Data Scientist
7288,35-39,Man,Portugal,Doctoral degree,3-5 years,1,4-5 years,Computers/Technology,Small,45000.0,Data Scientist
7289,45-49,Man,Netherlands,Master’s degree,< 1 years,2,Under 1 year,Manufacturing/Fabrication,Small,3500.0,Data Analyst
7291,45-49,Man,Germany,Bachelor’s degree,10-20 years,4,4-5 years,Online Business/Internet-based Sales,Small,112500.0,Other
7299,25-29,Man,France,Master’s degree,3-5 years,1,2-3 years,Medical/Pharmaceutical,Small,45000.0,Data Scientist
7306,30-34,Man,Italy,Master’s degree,5-10 years,3,4-5 years,Marketing/CRM,Large,65000.0,Data Scientist
7311,50-54,Man,Germany,Master’s degree,20+ years,3,2-3 years,Manufacturing/Fabrication,No team,137500.0,Data Scientist
7312,40-44,Man,Russia,High school,20+ years,4,1-2 years,Online Service/Internet-based Services,Small,2500.0,Data Engineer
7313,30-34,Man,Russia,Master’s degree,5-10 years,2,1-2 years,Insurance/Risk Assessment,Small,3500.0,Data Analyst
7314,45-49,Man,Russia,Master’s degree,20+ years,4,1-2 years,Shipping/Transportation,Small,3500.0,Data Scientist
7315,50-54,Man,Belgium,Master’s degree,20+ years,1,No experience,Computers/Technology,Large,75000.0,Other
7319,35-39,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Government/Public Service,Small,55000.0,Data Analyst
7321,35-39,Man,Italy,Master’s degree,10-20 years,2,No experience,Computers/Technology,No team,75000.0,Other
7345,35-39,Man,France,Master’s degree,1-3 years,1,Under 1 year,Academics/Education,Small,1500.0,Data Scientist
7352,40-44,Man,France,Master’s degree,20+ years,1,No experience,Shipping/Transportation,No team,65000.0,Data Scientist
7358,40-44,Man,Italy,Master’s degree,10-20 years,1,10-20 years,Academics/Education,Small,27500.0,Data Engineer
7377,35-39,Woman,Spain,I prefer not to answer,5-10 years,3,Under 1 year,Energy/Mining,No team,45000.0,Data Analyst
7381,30-34,Man,Ukraine,Master’s degree,1-3 years,2,Under 1 year,Retail/Sales,Large,35000.0,Data Analyst
7392,30-34,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Government/Public Service,No team,45000.0,Data Analyst
7430,25-29,Man,Italy,Master’s degree,1-3 years,1,Under 1 year,Insurance/Risk Assessment,Small,27500.0,Data Scientist
7431,25-29,Man,Italy,Bachelor’s degree,3-5 years,3,2-3 years,Manufacturing/Fabrication,Small,35000.0,Data Scientist
7434,25-29,Man,Russia,High school,3-5 years,3,1-2 years,Shipping/Transportation,No team,35000.0,Other
7435,45-49,Man,Switzerland,Professional doctorate,20+ years,3,2-3 years,Online Service/Internet-based Services,Large,95000.0,Data Engineer
7450,25-29,Other,Czech Republic,Master’s degree,5-10 years,3,3-4 years,Computers/Technology,Small,55000.0,Data Engineer
7459,35-39,Man,France,Master’s degree,10-20 years,3,Under 1 year,Computers/Technology,Small,45000.0,Data Engineer
7467,45-49,Man,Russia,High school,20+ years,2,1-2 years,Accounting/Finance,No team,2500.0,Data Engineer
7484,40-44,Man,Russia,Master’s degree,20+ years,2,Under 1 year,Marketing/CRM,Medium,35000.0,Data Engineer
7490,45-49,Man,Poland,Bachelor’s degree,10-20 years,1,Under 1 year,Broadcasting/Communications,Large,1500.0,Data Analyst
7491,45-49,Man,Spain,Master’s degree,3-5 years,1,1-2 years,Energy/Mining,Medium,45000.0,Other
7493,55-59,Other,Spain,Professional doctorate,1-3 years,3,1-2 years,Other,Small,75000.0,Data Analyst
7496,25-29,Man,Spain,Master’s degree,1-3 years,2,2-3 years,Computers/Technology,Small,35000.0,Data Scientist
7504,35-39,Man,Germany,Doctoral degree,5-10 years,3,Under 1 year,Academics/Education,Medium,55000.0,Data Scientist
7505,50-54,Man,Ireland,Doctoral degree,5-10 years,3,10-20 years,Academics/Education,Medium,17500.0,Data Analyst
7510,18-21,Man,UK,Bachelor’s degree,1-3 years,2,Under 1 year,Retail/Sales,Large,35000.0,Data Scientist
7513,30-34,Woman,Sweden,Master’s degree,10-20 years,3,4-5 years,Manufacturing/Fabrication,Medium,65000.0,Data Scientist
7525,30-34,Man,Russia,Bachelor’s degree,1-3 years,2,1-2 years,Marketing/CRM,No team,2500.0,Data Scientist
7531,50-54,Woman,Russia,Doctoral degree,10-20 years,2,1-2 years,Academics/Education,Small,8750.0,Data Scientist
7534,25-29,Man,Greece,Doctoral degree,3-5 years,3,3-4 years,Computers/Technology,Small,55000.0,Data Scientist
7536,35-39,Man,France,Master’s degree,3-5 years,3,1-2 years,Accounting/Finance,Large,65000.0,Data Scientist
7539,25-29,Woman,Russia,Master’s degree,5-10 years,4,Under 1 year,Academics/Education,No team,500.0,Data Scientist
7550,35-39,Man,Germany,Professional doctorate,10-20 years,2,5-10 years,Medical/Pharmaceutical,Large,112500.0,Data Scientist
7561,35-39,Woman,Russia,Bachelor’s degree,10-20 years,1,4-5 years,Accounting/Finance,Small,500.0,Data Scientist
7563,45-49,Man,Netherlands,Master’s degree,5-10 years,1,4-5 years,Academics/Education,Large,55000.0,Data Scientist
7564,50-54,Man,Germany,Doctoral degree,5-10 years,2,2-3 years,Academics/Education,Small,65000.0,Other
7567,30-34,Woman,Germany,Doctoral degree,1-3 years,3,1-2 years,Academics/Education,No team,17500.0,Data Engineer
7575,50-54,Man,France,Master’s degree,20+ years,2,No experience,Medical/Pharmaceutical,Small,35000.0,Data Engineer
7579,25-29,Man,Russia,Bachelor’s degree,3-5 years,4,3-4 years,Retail/Sales,Large,55000.0,Data Scientist
7581,35-39,Man,Russia,High school,3-5 years,1,1-2 years,Academics/Education,Small,12500.0,Data Engineer
7584,30-34,Man,Ukraine,Master’s degree,1-3 years,3,Under 1 year,Online Business/Internet-based Sales,Small,1500.0,Data Analyst
7587,40-44,Man,Romania,Professional doctorate,10-20 years,3,2-3 years,Medical/Pharmaceutical,Small,27500.0,Data Scientist
7588,45-49,Man,Poland,Bachelor’s degree,10-20 years,2,No experience,Computers/Technology,No team,75000.0,Other
7590,22-24,Man,France,Master’s degree,5-10 years,3,1-2 years,Academics/Education,Small,500.0,Data Scientist
7604,30-34,Man,Portugal,Master’s degree,1-3 years,1,Under 1 year,Other,Small,22500.0,Data Scientist
7605,30-34,Man,UK,Master’s degree,3-5 years,3,2-3 years,Manufacturing/Fabrication,Small,55000.0,Other
7609,50-54,Man,Italy,Doctoral degree,20+ years,4,2-3 years,Academics/Education,Medium,35000.0,Data Scientist
7616,35-39,Man,Poland,Master’s degree,5-10 years,2,2-3 years,Energy/Mining,Small,17500.0,Data Engineer
7617,25-29,Man,France,Doctoral degree,3-5 years,3,4-5 years,Computers/Technology,Medium,75000.0,Data Engineer
7621,25-29,Man,Spain,Doctoral degree,1-3 years,3,1-2 years,Shipping/Transportation,Small,45000.0,Data Scientist
7630,40-44,Man,Spain,Master’s degree,20+ years,4,2-3 years,Insurance/Risk Assessment,Small,55000.0,Data Engineer
7638,30-34,Man,UK,Master’s degree,5-10 years,3,Under 1 year,Computers/Technology,Small,55000.0,Data Engineer
7644,50-54,Man,France,Doctoral degree,20+ years,2,5-10 years,Academics/Education,Large,45000.0,Data Scientist
7646,35-39,Man,Poland,Some college,20+ years,2,1-2 years,Online Service/Internet-based Services,Medium,55000.0,Data Engineer
7649,55-59,Woman,Germany,Master’s degree,10-20 years,4,4-5 years,Accounting/Finance,Small,55000.0,Data Engineer
7651,40-44,Man,Germany,Master’s degree,20+ years,3,No experience,Accounting/Finance,Small,75000.0,Data Engineer
7673,40-44,Man,Ireland,Bachelor’s degree,< 1 years,4,No experience,Computers/Technology,Small,55000.0,Data Engineer
7679,25-29,Other,Germany,Doctoral degree,10-20 years,1,4-5 years,Academics/Education,Large,17500.0,Other
7697,45-49,Man,Russia,Master’s degree,5-10 years,1,2-3 years,Military/Security/Defense,No team,500.0,Data Engineer
7705,45-49,Man,Spain,Master’s degree,20+ years,4,No experience,Energy/Mining,Small,45000.0,Data Engineer
7719,25-29,Man,Ireland,Master’s degree,3-5 years,1,2-3 years,Computers/Technology,Small,55000.0,Data Scientist
7720,35-39,Woman,Romania,Master’s degree,3-5 years,3,1-2 years,Government/Public Service,Small,500.0,Data Engineer
7725,40-44,Man,Switzerland,Master’s degree,5-10 years,4,3-4 years,Energy/Mining,Small,112500.0,Data Scientist
7738,55-59,Man,Belgium,Master’s degree,< 1 years,1,Under 1 year,Broadcasting/Communications,Small,22500.0,Other
7740,30-34,Man,Germany,Master’s degree,3-5 years,3,2-3 years,Retail/Sales,Large,55000.0,Data Scientist
7741,35-39,Man,Germany,Master’s degree,1-3 years,2,1-2 years,Online Service/Internet-based Services,Small,6250.0,Data Analyst
7749,30-34,Man,Spain,Master’s degree,3-5 years,2,4-5 years,Energy/Mining,Medium,75000.0,Other
7750,30-34,Man,Spain,Master’s degree,3-5 years,2,3-4 years,Other,Small,55000.0,Data Analyst
7758,35-39,Man,Ireland,Some college,10-20 years,2,1-2 years,Broadcasting/Communications,Small,55000.0,Data Analyst
7761,50-54,Man,Ireland,Bachelor’s degree,10-20 years,3,Under 1 year,Insurance/Risk Assessment,Large,85000.0,Data Analyst
7765,25-29,Man,Italy,Bachelor’s degree,1-3 years,1,1-2 years,Computers/Technology,Small,1500.0,Data Scientist
7767,25-29,Man,Italy,Master’s degree,3-5 years,1,4-5 years,Computers/Technology,Small,27500.0,Data Scientist
7768,25-29,Man,Greece,Doctoral degree,1-3 years,2,Under 1 year,Academics/Education,Small,500.0,Other
7773,22-24,Man,Poland,Master’s degree,1-3 years,3,1-2 years,Accounting/Finance,Small,27500.0,Data Engineer
7799,22-24,Man,Russia,Master’s degree,3-5 years,3,Under 1 year,Manufacturing/Fabrication,No team,1500.0,Data Scientist
7800,18-21,Man,Russia,Bachelor’s degree,1-3 years,3,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
7802,50-54,Man,Portugal,Doctoral degree,20+ years,1,5-10 years,Academics/Education,Large,35000.0,Data Scientist
7805,25-29,Man,Italy,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Small,27500.0,Data Engineer
7809,30-34,Man,Spain,Master’s degree,3-5 years,3,Under 1 year,Computers/Technology,Small,4500.0,Data Analyst
7811,35-39,Man,France,Master’s degree,5-10 years,1,No experience,Online Service/Internet-based Services,Small,75000.0,Other
7812,55-59,Man,Belgium,Master’s degree,20+ years,4,4-5 years,Medical/Pharmaceutical,No team,4500.0,Other
7813,30-34,Man,Czech Republic,Master’s degree,10-20 years,4,3-4 years,Computers/Technology,Small,65000.0,Data Engineer
7823,25-29,Man,Russia,Bachelor’s degree,< 1 years,1,Under 1 year,Academics/Education,No team,3500.0,Data Scientist
7827,22-24,Man,Ukraine,Master’s degree,1-3 years,2,1-2 years,Computers/Technology,Small,12500.0,Data Engineer
7832,55-59,Man,Switzerland,Some college,20+ years,2,No experience,Government/Public Service,Small,112500.0,Other
7839,25-29,Man,France,Master’s degree,5-10 years,2,No experience,Computers/Technology,No team,2500.0,Data Engineer
7848,35-39,Woman,Russia,Master’s degree,1-3 years,1,No experience,Academics/Education,Small,12500.0,Data Scientist
7850,40-44,Man,Spain,I prefer not to answer,1-3 years,3,Under 1 year,Computers/Technology,Small,1500.0,Data Scientist
7856,45-49,Man,Sweden,Master’s degree,20+ years,3,1-2 years,Medical/Pharmaceutical,No team,85000.0,Other
7857,18-21,Woman,Poland,Bachelor’s degree,1-3 years,3,No experience,Non-profit/Service,No team,17500.0,Data Analyst
7871,30-34,Woman,Russia,Master’s degree,5-10 years,1,Under 1 year,Academics/Education,Small,500.0,Data Scientist
7872,30-34,Man,UK,Master’s degree,10-20 years,2,5-10 years,Accounting/Finance,Small,112500.0,Data Scientist
7878,40-44,Man,Russia,Professional doctorate,3-5 years,3,Under 1 year,Accounting/Finance,Small,4500.0,Data Analyst
7882,35-39,Man,Ukraine,Master’s degree,5-10 years,3,No experience,Retail/Sales,Small,35000.0,Data Engineer
7885,30-34,Man,Germany,Master’s degree,5-10 years,3,4-5 years,Other,Medium,95000.0,Data Scientist
7887,22-24,Man,Russia,Bachelor’s degree,< 1 years,2,1-2 years,Online Service/Internet-based Services,Small,500.0,Data Scientist
7889,30-34,Woman,Germany,Doctoral degree,1-3 years,1,Under 1 year,Academics/Education,Large,35000.0,Data Scientist
7913,40-44,Man,Spain,Doctoral degree,10-20 years,2,Under 1 year,Academics/Education,No team,22500.0,Data Scientist
7914,55-59,Man,Spain,Master’s degree,20+ years,1,5-10 years,Government/Public Service,Small,75000.0,Data Engineer
7918,35-39,Man,Denmark,Master’s degree,1-3 years,3,Under 1 year,Retail/Sales,No team,3500.0,Data Analyst
7919,35-39,Man,Germany,Doctoral degree,5-10 years,4,2-3 years,Other,Large,85000.0,Data Engineer
7920,35-39,Woman,UK,Doctoral degree,3-5 years,3,No experience,Academics/Education,Large,27500.0,Data Scientist
7930,35-39,Man,France,Doctoral degree,10-20 years,1,No experience,Energy/Mining,No team,65000.0,Data Engineer
7932,18-21,Man,Ukraine,Bachelor’s degree,1-3 years,2,Under 1 year,Other,No team,500.0,Data Scientist
7936,25-29,Man,Ireland,Doctoral degree,5-10 years,2,4-5 years,Manufacturing/Fabrication,Large,85000.0,Data Scientist
7944,25-29,Man,Russia,I prefer not to answer,3-5 years,1,1-2 years,Online Business/Internet-based Sales,No team,6250.0,Data Scientist
7956,35-39,Man,Switzerland,Some college,5-10 years,2,3-4 years,Energy/Mining,Small,112500.0,Data Analyst
7957,50-54,Woman,UK,Some college,20+ years,2,Under 1 year,Other,Small,55000.0,Data Analyst
7967,45-49,Man,Spain,Bachelor’s degree,3-5 years,3,5-10 years,Computers/Technology,Small,75000.0,Data Engineer
7969,22-24,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Academics/Education,Large,500.0,Data Engineer
7973,50-54,Man,Russia,Master’s degree,1-3 years,1,2-3 years,Computers/Technology,Small,45000.0,Data Analyst
7977,35-39,Man,Spain,Doctoral degree,20+ years,4,10-20 years,Accounting/Finance,Medium,95000.0,Data Engineer
7978,25-29,Man,Germany,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Small,500.0,Data Analyst
7979,35-39,Man,Netherlands,Doctoral degree,10-20 years,3,4-5 years,Online Business/Internet-based Sales,Large,112500.0,Data Engineer
7999,30-34,Man,Germany,Doctoral degree,10-20 years,4,5-10 years,Academics/Education,Large,75000.0,Data Scientist
8002,25-29,Man,France,Master’s degree,5-10 years,1,5-10 years,Military/Security/Defense,Medium,45000.0,Data Engineer
8005,22-24,Woman,Czech Republic,Master’s degree,1-3 years,2,1-2 years,Online Business/Internet-based Sales,Small,22500.0,Data Engineer
8011,25-29,Man,Russia,Master’s degree,3-5 years,2,Under 1 year,Government/Public Service,Small,12500.0,Data Analyst
8012,35-39,Woman,France,Doctoral degree,10-20 years,3,3-4 years,Computers/Technology,Small,85000.0,Data Scientist
8016,40-44,Man,Netherlands,Bachelor’s degree,3-5 years,3,Under 1 year,Other,Small,45000.0,Other
8018,50-54,Man,Spain,High school,< 1 years,1,Under 1 year,Other,No team,2500.0,Data Analyst
8019,35-39,Man,UK,Master’s degree,20+ years,3,20 or more years,Broadcasting/Communications,Medium,85000.0,Data Scientist
8023,30-34,Man,Poland,Master’s degree,3-5 years,4,3-4 years,Online Business/Internet-based Sales,Small,27500.0,Data Scientist
8037,30-34,Woman,Germany,Master’s degree,5-10 years,2,Under 1 year,Academics/Education,Small,55000.0,Data Scientist
8040,55-59,Woman,France,Master’s degree,3-5 years,1,Under 1 year,Accounting/Finance,Small,65000.0,Data Analyst
8043,35-39,Man,Russia,High school,< 1 years,2,No experience,Retail/Sales,No team,500.0,Data Analyst
8045,40-44,Man,Italy,Doctoral degree,20+ years,4,5-10 years,Accounting/Finance,Small,55000.0,Data Scientist
8052,22-24,Man,France,Master’s degree,3-5 years,3,2-3 years,Insurance/Risk Assessment,Large,45000.0,Data Scientist
8057,25-29,Man,Italy,Doctoral degree,3-5 years,2,2-3 years,Academics/Education,Large,1500.0,Data Engineer
8059,55-59,Man,Poland,Professional doctorate,20+ years,1,20 or more years,Academics/Education,Small,27500.0,Data Scientist
8065,30-34,Woman,Germany,Master’s degree,10-20 years,4,3-4 years,Non-profit/Service,Large,55000.0,Other
8073,30-34,Man,Germany,Master’s degree,1-3 years,2,Under 1 year,Online Service/Internet-based Services,Large,75000.0,Data Scientist
8085,55-59,Man,Portugal,Doctoral degree,< 1 years,1,1-2 years,Accounting/Finance,Small,35000.0,Data Analyst
8087,40-44,Man,Spain,Master’s degree,1-3 years,2,Under 1 year,Other,Small,35000.0,Other
8091,35-39,Man,France,Master’s degree,1-3 years,4,1-2 years,Accounting/Finance,Small,22500.0,Data Engineer
8099,45-49,Woman,UK,Doctoral degree,1-3 years,1,2-3 years,Academics/Education,Small,45000.0,Data Scientist
8106,35-39,Man,Italy,Master’s degree,1-3 years,2,2-3 years,Accounting/Finance,Medium,35000.0,Data Analyst
8107,40-44,Man,Ireland,Master’s degree,10-20 years,4,5-10 years,Insurance/Risk Assessment,Large,75000.0,Data Scientist
8108,45-49,Man,UK,Bachelor’s degree,1-3 years,2,1-2 years,Accounting/Finance,Large,137500.0,Data Analyst
8110,25-29,Man,France,Master’s degree,3-5 years,2,3-4 years,Computers/Technology,Medium,55000.0,Data Scientist
8125,55-59,Man,Germany,Master’s degree,20+ years,1,No experience,Computers/Technology,Small,75000.0,Data Engineer
8127,50-54,Man,Spain,Master’s degree,3-5 years,2,Under 1 year,Medical/Pharmaceutical,No team,45000.0,Data Analyst
8131,30-34,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Shipping/Transportation,Small,8750.0,Data Analyst
8133,40-44,Man,Russia,Master’s degree,3-5 years,2,4-5 years,Academics/Education,Large,65000.0,Data Analyst
8142,55-59,Man,Ireland,Doctoral degree,5-10 years,3,5-10 years,Academics/Education,Medium,45000.0,Data Scientist
8148,45-49,Man,UK,Master’s degree,1-3 years,2,Under 1 year,Broadcasting/Communications,Large,95000.0,Data Engineer
8150,25-29,Man,Spain,Some college,< 1 years,1,Under 1 year,Government/Public Service,No team,27500.0,Data Analyst
8152,25-29,Man,UK,Master’s degree,5-10 years,3,1-2 years,Computers/Technology,No team,55000.0,Data Engineer
8160,55-59,Man,Spain,Doctoral degree,1-3 years,2,4-5 years,Other,Small,3500.0,Data Scientist
8165,30-34,Woman,Russia,Bachelor’s degree,< 1 years,1,No experience,Medical/Pharmaceutical,No team,500.0,Data Scientist
8166,55-59,Man,UK,Master’s degree,20+ years,3,20 or more years,Hospitality/Entertainment/Sports,Large,112500.0,Data Scientist
8167,22-24,Man,Austria,Master’s degree,1-3 years,3,Under 1 year,Hospitality/Entertainment/Sports,No team,1500.0,Data Analyst
8170,45-49,Man,Belgium,Master’s degree,20+ years,1,20 or more years,Other,Medium,137500.0,Other
8171,45-49,Man,Spain,Doctoral degree,20+ years,4,2-3 years,Academics/Education,No team,500.0,Other
8179,30-34,Man,Greece,Master’s degree,1-3 years,1,1-2 years,Energy/Mining,Small,1500.0,Other
8186,35-39,Man,UK,Master’s degree,1-3 years,1,2-3 years,Manufacturing/Fabrication,Large,85000.0,Data Analyst
8199,25-29,Man,Russia,Master’s degree,5-10 years,3,No experience,Accounting/Finance,Large,22500.0,Data Analyst
8206,40-44,Man,Germany,Master’s degree,10-20 years,2,5-10 years,Other,Large,112500.0,Data Analyst
8209,55-59,Man,France,Doctoral degree,20+ years,3,5-10 years,Other,Large,6250.0,Data Engineer
8210,30-34,Man,Germany,Master’s degree,< 1 years,2,Under 1 year,Manufacturing/Fabrication,Small,55000.0,Data Analyst
8216,30-34,Woman,Russia,Master’s degree,< 1 years,2,Under 1 year,Marketing/CRM,No team,1500.0,Data Analyst
8221,30-34,Woman,UK,Bachelor’s degree,1-3 years,2,2-3 years,Computers/Technology,Large,45000.0,Data Engineer
8222,25-29,Man,Ukraine,Doctoral degree,1-3 years,3,2-3 years,Academics/Education,Small,500.0,Data Scientist
8231,45-49,Man,Sweden,Master’s degree,5-10 years,1,Under 1 year,Medical/Pharmaceutical,Medium,85000.0,Data Analyst
8238,30-34,Man,Poland,Master’s degree,10-20 years,2,5-10 years,Academics/Education,Small,55000.0,Data Scientist
8240,30-34,Woman,France,Doctoral degree,5-10 years,1,4-5 years,Energy/Mining,No team,1500.0,Data Scientist
8245,35-39,Man,Ukraine,Master’s degree,1-3 years,3,Under 1 year,Marketing/CRM,No team,45000.0,Data Analyst
8253,55-59,Man,Poland,Some college,3-5 years,2,2-3 years,Energy/Mining,Small,12500.0,Data Analyst
8263,30-34,Woman,UK,Master’s degree,5-10 years,2,3-4 years,Online Business/Internet-based Sales,Large,137500.0,Data Engineer
8267,55-59,Man,Spain,Master’s degree,10-20 years,2,Under 1 year,Manufacturing/Fabrication,No team,35000.0,Data Engineer
8268,30-34,Man,Ireland,Doctoral degree,3-5 years,1,3-4 years,Energy/Mining,Small,75000.0,Data Scientist
8271,55-59,Man,Ireland,Bachelor’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,No team,500.0,Other
8272,35-39,Man,Italy,High school,< 1 years,1,Under 1 year,Other,No team,27500.0,Data Engineer
8275,18-21,Man,France,Master’s degree,3-5 years,2,Under 1 year,Shipping/Transportation,Small,500.0,Data Engineer
8276,40-44,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Accounting/Finance,Medium,112500.0,Data Scientist
8282,25-29,Woman,Austria,Doctoral degree,1-3 years,1,Under 1 year,Academics/Education,Small,2500.0,Data Scientist
8284,18-21,Man,Russia,Bachelor’s degree,1-3 years,3,1-2 years,Non-profit/Service,No team,500.0,Data Scientist
8292,18-21,Woman,Italy,Master’s degree,1-3 years,1,Under 1 year,Hospitality/Entertainment/Sports,Small,500.0,Data Analyst
8293,25-29,Other,France,Master’s degree,3-5 years,3,1-2 years,Academics/Education,Small,35000.0,Data Scientist
8303,25-29,Man,Italy,Doctoral degree,10-20 years,3,3-4 years,Academics/Education,Small,1500.0,Data Scientist
8307,45-49,Man,Belarus,Doctoral degree,10-20 years,2,4-5 years,Computers/Technology,Small,35000.0,Data Analyst
8316,45-49,Man,UK,Master’s degree,< 1 years,2,Under 1 year,Medical/Pharmaceutical,Small,27500.0,Data Analyst
8318,30-34,Man,Greece,Master’s degree,< 1 years,3,2-3 years,Computers/Technology,Small,500.0,Data Analyst
8319,22-24,Other,UK,Master’s degree,3-5 years,1,1-2 years,Academics/Education,Small,45000.0,Data Engineer
8326,55-59,Woman,UK,Master’s degree,< 1 years,1,No experience,Accounting/Finance,No team,112500.0,Data Analyst
8328,30-34,Man,Poland,Master’s degree,5-10 years,2,4-5 years,Medical/Pharmaceutical,Small,27500.0,Data Scientist
8329,30-34,Man,France,Master’s degree,1-3 years,2,Under 1 year,Government/Public Service,Small,35000.0,Other
8333,40-44,Man,UK,Some college,1-3 years,2,No experience,Government/Public Service,Large,35000.0,Data Engineer
8348,40-44,Man,France,Master’s degree,10-20 years,3,10-20 years,Other,Small,65000.0,Data Scientist
8353,25-29,Man,Poland,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,Large,2500.0,Data Engineer
8360,35-39,Man,Germany,Doctoral degree,3-5 years,2,1-2 years,Online Service/Internet-based Services,Large,95000.0,Data Scientist
8361,40-44,Man,France,Master’s degree,10-20 years,4,5-10 years,Computers/Technology,Large,85000.0,Data Engineer
8371,22-24,Man,Russia,Master’s degree,5-10 years,2,3-4 years,Medical/Pharmaceutical,Large,12500.0,Data Scientist
8372,55-59,Man,Greece,Master’s degree,20+ years,2,Under 1 year,Other,Small,112500.0,Data Analyst
8374,22-24,Man,UK,Master’s degree,1-3 years,2,1-2 years,Accounting/Finance,Small,85000.0,Data Scientist
8375,55-59,Man,Germany,Master’s degree,1-3 years,1,Under 1 year,Other,Small,137500.0,Other
8376,35-39,Man,Spain,Doctoral degree,1-3 years,4,1-2 years,Military/Security/Defense,No team,35000.0,Other
8377,25-29,Man,Germany,Master’s degree,3-5 years,3,2-3 years,Online Service/Internet-based Services,Small,45000.0,Data Engineer
8380,30-34,Man,Russia,Some college,< 1 years,3,Under 1 year,Manufacturing/Fabrication,Small,12500.0,Data Engineer
8382,30-34,Man,Russia,Master’s degree,5-10 years,4,Under 1 year,Government/Public Service,Small,55000.0,Data Engineer
8391,30-34,Man,UK,Master’s degree,10-20 years,4,1-2 years,Accounting/Finance,No team,45000.0,Data Engineer
8397,40-44,Woman,France,Master’s degree,10-20 years,3,5-10 years,Marketing/CRM,Large,112500.0,Data Analyst
8406,55-59,Man,Spain,Doctoral degree,20+ years,2,20 or more years,Academics/Education,Small,55000.0,Data Analyst
