,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,company_size_g,team_size_g,role_group,salary_avg
7616,35-39,Man,UK,Master’s degree,1-3 years,2,1-2 years,Government/Public Service,Large,Medium,Data Scientist,55000.0
7629,40-44,Man,Spain,Bachelor’s degree,3-5 years,4,No experience,Academics/Education,Small,No team,Data Analyst,500.0
7636,35-39,Man,Denmark,Doctoral degree,10-20 years,3,5-10 years,Computers/Technology,Large,Large,Data Scientist,500.0
7640,45-49,Man,Netherlands,Bachelor’s degree,3-5 years,2,Under 1 year,Medical/Pharmaceutical,Large,Medium,Data Engineer,112500.0
7642,30-34,Man,Italy,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Large,Large,Data Scientist,22500.0
7645,30-34,Man,Italy,Master’s degree,10-20 years,2,4-5 years,Online Service/Internet-based Services,Small,Small,Data Scientist,27500.0
7651,35-39,Man,Portugal,Doctoral degree,3-5 years,1,4-5 years,Computers/Technology,Large,Small,Data Scientist,45000.0
7652,45-49,Man,Netherlands,Master’s degree,< 1 years,2,Under 1 year,Manufacturing/Fabrication,Medium,Small,Data Analyst,3500.0
7655,45-49,Man,Germany,Bachelor’s degree,10-20 years,4,4-5 years,Online Business/Internet-based Sales,Large,Small,Other,112500.0
7663,25-29,Man,France,Master’s degree,3-5 years,1,2-3 years,Medical/Pharmaceutical,Medium,Small,Data Scientist,45000.0
7670,30-34,Man,Italy,Master’s degree,5-10 years,3,4-5 years,Marketing/CRM,Medium,Large,Data Scientist,65000.0
7675,50-54,Man,Germany,Master’s degree,20+ years,3,2-3 years,Manufacturing/Fabrication,Large,No team,Data Scientist,137500.0
7676,40-44,Man,Russia,High school,20+ years,4,1-2 years,Online Service/Internet-based Services,Small,Small,Data Engineer,2500.0
7677,30-34,Man,Russia,Master’s degree,5-10 years,2,1-2 years,Insurance/Risk Assessment,Large,Small,Data Analyst,3500.0
7678,45-49,Man,Russia,Master’s degree,20+ years,4,1-2 years,Shipping/Transportation,Small,Small,Data Scientist,3500.0
7679,50-54,Man,Belgium,Master’s degree,20+ years,1,No experience,Computers/Technology,Large,Large,Other,75000.0
7684,35-39,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Government/Public Service,Large,Small,Data Analyst,55000.0
7686,35-39,Man,Italy,Master’s degree,10-20 years,2,No experience,Computers/Technology,Small,No team,Other,75000.0
7711,35-39,Man,France,Master’s degree,1-3 years,1,Under 1 year,Academics/Education,Small,Small,Data Scientist,1500.0
7718,40-44,Man,France,Master’s degree,20+ years,1,No experience,Shipping/Transportation,Small,No team,Data Scientist,65000.0
7724,40-44,Man,Italy,Master’s degree,10-20 years,1,10-20 years,Academics/Education,Small,Small,Data Engineer,27500.0
7744,35-39,Woman,Spain,I prefer not to answer,5-10 years,3,Under 1 year,Energy/Mining,Large,No team,Data Analyst,45000.0
7748,30-34,Man,Ukraine,Master’s degree,1-3 years,2,Under 1 year,Retail/Sales,Large,Large,Data Analyst,35000.0
7759,30-34,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Government/Public Service,Large,No team,Data Analyst,45000.0
7786,30-34,Woman,Sweden,Master’s degree,5-10 years,2,3-4 years,Other,Large,Large,Data Scientist,39176.71626648631
7798,25-29,Man,Italy,Master’s degree,1-3 years,1,Under 1 year,Insurance/Risk Assessment,Small,Small,Data Scientist,27500.0
7799,25-29,Man,Italy,Bachelor’s degree,3-5 years,3,2-3 years,Manufacturing/Fabrication,Large,Small,Data Scientist,35000.0
7802,25-29,Man,Russia,High school,3-5 years,3,1-2 years,Shipping/Transportation,Medium,No team,Other,35000.0
7803,45-49,Man,Switzerland,Professional doctorate,20+ years,3,2-3 years,Online Service/Internet-based Services,Large,Large,Data Engineer,95000.0
7818,25-29,Other,Czech Republic,Master’s degree,5-10 years,3,3-4 years,Computers/Technology,Medium,Small,Data Engineer,55000.0
7827,35-39,Man,France,Master’s degree,10-20 years,3,Under 1 year,Computers/Technology,Large,Small,Data Engineer,45000.0
7835,45-49,Man,Russia,High school,20+ years,2,1-2 years,Accounting/Finance,Large,No team,Data Engineer,2500.0
7852,40-44,Man,Russia,Master’s degree,20+ years,2,Under 1 year,Marketing/CRM,Large,Medium,Data Engineer,35000.0
7858,45-49,Man,Poland,Bachelor’s degree,10-20 years,1,Under 1 year,Broadcasting/Communications,Large,Large,Data Analyst,1500.0
7859,45-49,Man,Spain,Master’s degree,3-5 years,1,1-2 years,Energy/Mining,Large,Medium,Other,45000.0
7862,55-59,Other,Spain,Professional doctorate,1-3 years,3,1-2 years,Other,Large,Small,Data Analyst,75000.0
7865,25-29,Man,Spain,Master’s degree,1-3 years,2,2-3 years,Computers/Technology,Small,Small,Data Scientist,35000.0
7873,35-39,Man,Germany,Doctoral degree,5-10 years,3,Under 1 year,Academics/Education,Large,Medium,Data Scientist,55000.0
7874,50-54,Man,Ireland,Doctoral degree,5-10 years,3,10-20 years,Academics/Education,Large,Medium,Data Analyst,17500.0
7880,18-21,Man,UK,Bachelor’s degree,1-3 years,2,Under 1 year,Retail/Sales,Large,Large,Data Scientist,35000.0
7883,30-34,Woman,Sweden,Master’s degree,10-20 years,3,4-5 years,Manufacturing/Fabrication,Large,Medium,Data Scientist,65000.0
7896,30-34,Man,Russia,Bachelor’s degree,1-3 years,2,1-2 years,Marketing/CRM,Large,No team,Data Scientist,2500.0
7902,50-54,Woman,Russia,Doctoral degree,10-20 years,2,1-2 years,Academics/Education,Large,Small,Data Scientist,8750.0
7905,25-29,Man,Greece,Doctoral degree,3-5 years,3,3-4 years,Computers/Technology,Small,Small,Data Scientist,55000.0
7907,35-39,Man,France,Master’s degree,3-5 years,3,1-2 years,Accounting/Finance,Large,Large,Data Scientist,65000.0
7910,25-29,Woman,Russia,Master’s degree,5-10 years,4,Under 1 year,Academics/Education,Large,No team,Data Scientist,500.0
7921,35-39,Man,Germany,Professional doctorate,10-20 years,2,5-10 years,Medical/Pharmaceutical,Large,Large,Data Scientist,112500.0
7933,35-39,Woman,Russia,Bachelor’s degree,10-20 years,1,4-5 years,Accounting/Finance,Small,Small,Data Scientist,500.0
7935,45-49,Man,Netherlands,Master’s degree,5-10 years,1,4-5 years,Academics/Education,Large,Large,Data Scientist,55000.0
7936,50-54,Man,Germany,Doctoral degree,5-10 years,2,2-3 years,Academics/Education,Medium,Small,Other,65000.0
7939,30-34,Woman,Germany,Doctoral degree,1-3 years,3,1-2 years,Academics/Education,Small,No team,Data Engineer,17500.0
7947,50-54,Man,France,Master’s degree,20+ years,2,No experience,Medical/Pharmaceutical,Medium,Small,Data Engineer,35000.0
7952,25-29,Man,Russia,Bachelor’s degree,3-5 years,4,3-4 years,Retail/Sales,Large,Large,Data Scientist,55000.0
7954,35-39,Man,Russia,High school,3-5 years,1,1-2 years,Academics/Education,Medium,Small,Data Engineer,12500.0
7957,30-34,Man,Ukraine,Master’s degree,1-3 years,3,Under 1 year,Online Business/Internet-based Sales,Small,Small,Data Analyst,1500.0
7961,40-44,Man,Romania,Professional doctorate,10-20 years,3,2-3 years,Medical/Pharmaceutical,Medium,Small,Data Scientist,27500.0
7962,45-49,Man,Poland,Bachelor’s degree,10-20 years,2,No experience,Computers/Technology,Medium,No team,Other,75000.0
7965,22-24,Man,France,Master’s degree,5-10 years,3,1-2 years,Academics/Education,Large,Small,Data Scientist,500.0
7980,30-34,Man,Portugal,Master’s degree,1-3 years,1,Under 1 year,Other,Large,Small,Data Scientist,22500.0
7981,30-34,Man,UK,Master’s degree,3-5 years,3,2-3 years,Manufacturing/Fabrication,Large,Small,Other,55000.0
7985,50-54,Man,Italy,Doctoral degree,20+ years,4,2-3 years,Academics/Education,Large,Medium,Data Scientist,35000.0
7988,22-24,Man,Russia,Bachelor’s degree,1-3 years,2,2-3 years,Computers/Technology,Large,Large,Data Engineer,39176.71626648631
7994,35-39,Man,Poland,Master’s degree,5-10 years,2,2-3 years,Energy/Mining,Medium,Small,Data Engineer,17500.0
7995,25-29,Man,France,Doctoral degree,3-5 years,3,4-5 years,Computers/Technology,Medium,Medium,Data Engineer,75000.0
7999,25-29,Man,Spain,Doctoral degree,1-3 years,3,1-2 years,Shipping/Transportation,Small,Small,Data Scientist,45000.0
8008,40-44,Man,Spain,Master’s degree,20+ years,4,2-3 years,Insurance/Risk Assessment,Medium,Small,Data Engineer,55000.0
8016,30-34,Man,UK,Master’s degree,5-10 years,3,Under 1 year,Computers/Technology,Large,Small,Data Engineer,55000.0
8023,50-54,Man,France,Doctoral degree,20+ years,2,5-10 years,Academics/Education,Large,Large,Data Scientist,45000.0
8025,35-39,Man,Poland,Some college,20+ years,2,1-2 years,Online Service/Internet-based Services,Large,Medium,Data Engineer,55000.0
8028,55-59,Woman,Germany,Master’s degree,10-20 years,4,4-5 years,Accounting/Finance,Medium,Small,Data Engineer,55000.0
8030,40-44,Man,Germany,Master’s degree,20+ years,3,No experience,Accounting/Finance,Large,Small,Data Engineer,75000.0
8056,40-44,Man,Ireland,Bachelor’s degree,< 1 years,4,No experience,Computers/Technology,Small,Small,Data Engineer,55000.0
8062,25-29,Other,Germany,Doctoral degree,10-20 years,1,4-5 years,Academics/Education,Large,Large,Other,17500.0
8083,45-49,Man,Russia,Master’s degree,5-10 years,1,2-3 years,Military/Security/Defense,Large,No team,Data Engineer,500.0
8085,35-39,Man,Germany,Doctoral degree,1-3 years,2,5-10 years,Retail/Sales,Large,Small,Data Scientist,39176.71626648631
8092,45-49,Man,Spain,Master’s degree,20+ years,4,No experience,Energy/Mining,Large,Small,Data Engineer,45000.0
8107,25-29,Man,Ireland,Master’s degree,3-5 years,1,2-3 years,Computers/Technology,Large,Small,Data Scientist,55000.0
8108,55-59,Man,Spain,Master’s degree,20+ years,1,4-5 years,Academics/Education,Large,Large,Data Scientist,39176.71626648631
8109,35-39,Woman,Romania,Master’s degree,3-5 years,3,1-2 years,Government/Public Service,Small,Small,Data Engineer,500.0
8114,40-44,Man,Switzerland,Master’s degree,5-10 years,4,3-4 years,Energy/Mining,Medium,Small,Data Scientist,112500.0
8127,55-59,Man,Belgium,Master’s degree,< 1 years,1,Under 1 year,Broadcasting/Communications,Small,Small,Other,22500.0
8129,30-34,Man,Germany,Master’s degree,3-5 years,3,2-3 years,Retail/Sales,Large,Large,Data Scientist,55000.0
8130,35-39,Man,Germany,Master’s degree,1-3 years,2,1-2 years,Online Service/Internet-based Services,Large,Small,Data Analyst,6250.0
8139,30-34,Man,Spain,Master’s degree,3-5 years,2,4-5 years,Energy/Mining,Large,Medium,Other,75000.0
8140,30-34,Man,Spain,Master’s degree,3-5 years,2,3-4 years,Other,Small,Small,Data Analyst,55000.0
8148,35-39,Man,Ireland,Some college,10-20 years,2,1-2 years,Broadcasting/Communications,Large,Small,Data Analyst,55000.0
8151,50-54,Man,Ireland,Bachelor’s degree,10-20 years,3,Under 1 year,Insurance/Risk Assessment,Large,Large,Data Analyst,85000.0
8155,25-29,Man,Italy,Bachelor’s degree,1-3 years,1,1-2 years,Computers/Technology,Medium,Small,Data Scientist,1500.0
8157,40-44,Man,Germany,Master’s degree,1-3 years,4,Under 1 year,Academics/Education,Large,Medium,Data Scientist,39176.71626648631
8158,25-29,Man,Italy,Master’s degree,3-5 years,1,4-5 years,Computers/Technology,Large,Small,Data Scientist,27500.0
8159,25-29,Man,Greece,Doctoral degree,1-3 years,2,Under 1 year,Academics/Education,Small,Small,Other,500.0
8164,22-24,Man,Poland,Master’s degree,1-3 years,3,1-2 years,Accounting/Finance,Medium,Small,Data Engineer,27500.0
8190,22-24,Man,Russia,Master’s degree,3-5 years,3,Under 1 year,Manufacturing/Fabrication,Small,No team,Data Scientist,1500.0
8191,18-21,Man,Russia,Bachelor’s degree,1-3 years,3,Under 1 year,Computers/Technology,Large,Small,Data Engineer,500.0
8193,50-54,Man,Portugal,Doctoral degree,20+ years,1,5-10 years,Academics/Education,Medium,Large,Data Scientist,35000.0
8196,25-29,Man,Italy,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Large,Small,Data Engineer,27500.0
8200,30-34,Man,Spain,Master’s degree,3-5 years,3,Under 1 year,Computers/Technology,Small,Small,Data Analyst,4500.0
8202,35-39,Man,France,Master’s degree,5-10 years,1,No experience,Online Service/Internet-based Services,Small,Small,Other,75000.0
8203,55-59,Man,Belgium,Master’s degree,20+ years,4,4-5 years,Medical/Pharmaceutical,Small,No team,Other,4500.0
8204,30-34,Man,Czech Republic,Master’s degree,10-20 years,4,3-4 years,Computers/Technology,Small,Small,Data Engineer,65000.0
8214,25-29,Man,Russia,Bachelor’s degree,< 1 years,1,Under 1 year,Academics/Education,Small,No team,Data Scientist,3500.0
8218,22-24,Man,Ukraine,Master’s degree,1-3 years,2,1-2 years,Computers/Technology,Large,Small,Data Engineer,12500.0
8223,55-59,Man,Switzerland,Some college,20+ years,2,No experience,Government/Public Service,Medium,Small,Other,112500.0
8230,25-29,Man,France,Master’s degree,5-10 years,2,No experience,Computers/Technology,Large,No team,Data Engineer,2500.0
8239,35-39,Woman,Russia,Master’s degree,1-3 years,1,No experience,Academics/Education,Medium,Small,Data Scientist,12500.0
8241,40-44,Man,Spain,I prefer not to answer,1-3 years,3,Under 1 year,Computers/Technology,Large,Small,Data Scientist,1500.0
8247,45-49,Man,Sweden,Master’s degree,20+ years,3,1-2 years,Medical/Pharmaceutical,Small,No team,Other,85000.0
8248,18-21,Woman,Poland,Bachelor’s degree,1-3 years,3,No experience,Non-profit/Service,Large,No team,Data Analyst,17500.0
8261,50-54,Man,Spain,Master’s degree,20+ years,2,2-3 years,Computers/Technology,Large,Large,Other,39176.71626648631
8264,30-34,Woman,Russia,Master’s degree,5-10 years,1,Under 1 year,Academics/Education,Large,Small,Data Scientist,500.0
8265,30-34,Man,UK,Master’s degree,10-20 years,2,5-10 years,Accounting/Finance,Small,Small,Data Scientist,112500.0
8272,40-44,Man,Russia,Professional doctorate,3-5 years,3,Under 1 year,Accounting/Finance,Large,Small,Data Analyst,4500.0
8277,35-39,Man,Ukraine,Master’s degree,5-10 years,3,No experience,Retail/Sales,Small,Small,Data Engineer,35000.0
8280,30-34,Man,Germany,Master’s degree,5-10 years,3,4-5 years,Other,Medium,Medium,Data Scientist,95000.0
8282,22-24,Man,Russia,Bachelor’s degree,< 1 years,2,1-2 years,Online Service/Internet-based Services,Medium,Small,Data Scientist,500.0
8284,30-34,Woman,Germany,Doctoral degree,1-3 years,1,Under 1 year,Academics/Education,Medium,Large,Data Scientist,35000.0
8309,40-44,Man,Spain,Doctoral degree,10-20 years,2,Under 1 year,Academics/Education,Small,No team,Data Scientist,22500.0
8310,55-59,Man,Spain,Master’s degree,20+ years,1,5-10 years,Government/Public Service,Large,Small,Data Engineer,75000.0
8315,35-39,Man,Denmark,Master’s degree,1-3 years,3,Under 1 year,Retail/Sales,Large,No team,Data Analyst,3500.0
8316,35-39,Man,Germany,Doctoral degree,5-10 years,4,2-3 years,Other,Large,Large,Data Engineer,85000.0
8317,35-39,Woman,UK,Doctoral degree,3-5 years,3,No experience,Academics/Education,Large,Large,Data Scientist,27500.0
8331,35-39,Man,France,Doctoral degree,10-20 years,1,No experience,Energy/Mining,Small,No team,Data Engineer,65000.0
8333,18-21,Man,Ukraine,Bachelor’s degree,1-3 years,2,Under 1 year,Other,Small,No team,Data Scientist,500.0
8337,25-29,Man,Ireland,Doctoral degree,5-10 years,2,4-5 years,Manufacturing/Fabrication,Large,Large,Data Scientist,85000.0
8346,25-29,Man,Russia,I prefer not to answer,3-5 years,1,1-2 years,Online Business/Internet-based Sales,Medium,No team,Data Scientist,6250.0
8357,45-49,Man,Russia,Some college,< 1 years,1,Under 1 year,Government/Public Service,Large,No team,Data Scientist,39176.71626648631
8359,35-39,Man,Switzerland,Some college,5-10 years,2,3-4 years,Energy/Mining,Medium,Small,Data Analyst,112500.0
8360,50-54,Woman,UK,Some college,20+ years,2,Under 1 year,Other,Large,Small,Data Analyst,55000.0
8371,45-49,Man,Spain,Bachelor’s degree,3-5 years,3,5-10 years,Computers/Technology,Large,Small,Data Engineer,75000.0
8373,22-24,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Academics/Education,Large,Large,Data Engineer,500.0
8377,55-59,Man,Czech Republic,Master’s degree,1-3 years,1,2-3 years,Other,Small,No team,Other,39176.71626648631
8380,50-54,Man,Russia,Master’s degree,1-3 years,1,2-3 years,Computers/Technology,Large,Small,Data Analyst,45000.0
8385,35-39,Man,Spain,Doctoral degree,20+ years,4,10-20 years,Accounting/Finance,Medium,Medium,Data Engineer,95000.0
8386,25-29,Man,Germany,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Small,Small,Data Analyst,500.0
8387,35-39,Man,Netherlands,Doctoral degree,10-20 years,3,4-5 years,Online Business/Internet-based Sales,Large,Large,Data Engineer,112500.0
8397,22-24,Man,Russia,Bachelor’s degree,3-5 years,2,1-2 years,Accounting/Finance,Large,Large,Data Scientist,39176.71626648631
8409,30-34,Man,Germany,Doctoral degree,10-20 years,4,5-10 years,Academics/Education,Large,Large,Data Scientist,75000.0
8412,25-29,Man,France,Master’s degree,5-10 years,1,5-10 years,Military/Security/Defense,Large,Medium,Data Engineer,45000.0
8415,22-24,Woman,Czech Republic,Master’s degree,1-3 years,2,1-2 years,Online Business/Internet-based Sales,Large,Small,Data Engineer,22500.0
8421,25-29,Man,Russia,Master’s degree,3-5 years,2,Under 1 year,Government/Public Service,Large,Small,Data Analyst,12500.0
8423,35-39,Woman,France,Doctoral degree,10-20 years,3,3-4 years,Computers/Technology,Medium,Small,Data Scientist,85000.0
8427,40-44,Man,Netherlands,Bachelor’s degree,3-5 years,3,Under 1 year,Other,Large,Small,Other,45000.0
8430,50-54,Man,Spain,High school,< 1 years,1,Under 1 year,Other,Small,No team,Data Analyst,2500.0
8431,35-39,Man,UK,Master’s degree,20+ years,3,20 or more years,Broadcasting/Communications,Large,Medium,Data Scientist,85000.0
8435,30-34,Man,Poland,Master’s degree,3-5 years,4,3-4 years,Online Business/Internet-based Sales,Medium,Small,Data Scientist,27500.0
8450,30-34,Woman,Germany,Master’s degree,5-10 years,2,Under 1 year,Academics/Education,Large,Small,Data Scientist,55000.0
8453,55-59,Woman,France,Master’s degree,3-5 years,1,Under 1 year,Accounting/Finance,Large,Small,Data Analyst,65000.0
8456,35-39,Man,Russia,High school,< 1 years,2,No experience,Retail/Sales,Small,No team,Data Analyst,500.0
8458,40-44,Man,Italy,Doctoral degree,20+ years,4,5-10 years,Accounting/Finance,Small,Small,Data Scientist,55000.0
8465,22-24,Man,France,Master’s degree,3-5 years,3,2-3 years,Insurance/Risk Assessment,Large,Large,Data Scientist,45000.0
8471,25-29,Man,Italy,Doctoral degree,3-5 years,2,2-3 years,Academics/Education,Large,Large,Data Engineer,1500.0
8473,55-59,Man,Poland,Professional doctorate,20+ years,1,20 or more years,Academics/Education,Large,Small,Data Scientist,27500.0
8480,30-34,Woman,Germany,Master’s degree,10-20 years,4,3-4 years,Non-profit/Service,Small,Large,Other,55000.0
8488,30-34,Man,Germany,Master’s degree,1-3 years,2,Under 1 year,Online Service/Internet-based Services,Large,Large,Data Scientist,75000.0
8500,55-59,Man,Portugal,Doctoral degree,< 1 years,1,1-2 years,Accounting/Finance,Small,Small,Data Analyst,35000.0
8503,40-44,Man,Spain,Master’s degree,1-3 years,2,Under 1 year,Other,Medium,Small,Other,35000.0
8508,35-39,Man,France,Master’s degree,1-3 years,4,1-2 years,Accounting/Finance,Large,Small,Data Engineer,22500.0
8516,45-49,Woman,UK,Doctoral degree,1-3 years,1,2-3 years,Academics/Education,Large,Small,Data Scientist,45000.0
8523,35-39,Man,Italy,Master’s degree,1-3 years,2,2-3 years,Accounting/Finance,Large,Medium,Data Analyst,35000.0
8524,40-44,Man,Ireland,Master’s degree,10-20 years,4,5-10 years,Insurance/Risk Assessment,Large,Large,Data Scientist,75000.0
8525,45-49,Man,UK,Bachelor’s degree,1-3 years,2,1-2 years,Accounting/Finance,Large,Large,Data Analyst,137500.0
8527,25-29,Man,France,Master’s degree,3-5 years,2,3-4 years,Computers/Technology,Small,Medium,Data Scientist,55000.0
8542,55-59,Man,Germany,Master’s degree,20+ years,1,No experience,Computers/Technology,Medium,Small,Data Engineer,75000.0
8544,50-54,Man,Spain,Master’s degree,3-5 years,2,Under 1 year,Medical/Pharmaceutical,Small,No team,Data Analyst,45000.0
8549,30-34,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Shipping/Transportation,Medium,Small,Data Analyst,8750.0
8551,40-44,Man,Russia,Master’s degree,3-5 years,2,4-5 years,Academics/Education,Large,Large,Data Analyst,65000.0
8562,55-59,Man,Ireland,Doctoral degree,5-10 years,3,5-10 years,Academics/Education,Large,Medium,Data Scientist,45000.0
8569,45-49,Man,UK,Master’s degree,1-3 years,2,Under 1 year,Broadcasting/Communications,Large,Large,Data Engineer,95000.0
8571,25-29,Man,Spain,Some college,< 1 years,1,Under 1 year,Government/Public Service,Small,No team,Data Analyst,27500.0
8573,25-29,Man,UK,Master’s degree,5-10 years,3,1-2 years,Computers/Technology,Small,No team,Data Engineer,55000.0
8581,55-59,Man,Spain,Doctoral degree,1-3 years,2,4-5 years,Other,Medium,Small,Data Scientist,3500.0
8586,30-34,Woman,Russia,Bachelor’s degree,< 1 years,1,No experience,Medical/Pharmaceutical,Small,No team,Data Scientist,500.0
8587,55-59,Man,UK,Master’s degree,20+ years,3,20 or more years,Hospitality/Entertainment/Sports,Large,Large,Data Scientist,112500.0
8588,22-24,Man,Austria,Master’s degree,1-3 years,3,Under 1 year,Hospitality/Entertainment/Sports,Large,No team,Data Analyst,1500.0
8591,45-49,Man,Belgium,Master’s degree,20+ years,1,20 or more years,Other,Medium,Medium,Other,137500.0
8592,45-49,Man,Spain,Doctoral degree,20+ years,4,2-3 years,Academics/Education,Large,No team,Other,500.0
8601,30-34,Man,Greece,Master’s degree,1-3 years,1,1-2 years,Energy/Mining,Medium,Small,Other,1500.0
8608,35-39,Man,UK,Master’s degree,1-3 years,1,2-3 years,Manufacturing/Fabrication,Large,Large,Data Analyst,85000.0
8621,25-29,Man,Russia,Master’s degree,5-10 years,3,No experience,Accounting/Finance,Large,Large,Data Analyst,22500.0
8628,40-44,Man,Germany,Master’s degree,10-20 years,2,5-10 years,Other,Large,Large,Data Analyst,112500.0
8631,55-59,Man,France,Doctoral degree,20+ years,3,5-10 years,Other,Large,Large,Data Engineer,6250.0
8632,30-34,Man,Germany,Master’s degree,< 1 years,2,Under 1 year,Manufacturing/Fabrication,Medium,Small,Data Analyst,55000.0
8638,30-34,Woman,Russia,Master’s degree,< 1 years,2,Under 1 year,Marketing/CRM,Medium,No team,Data Analyst,1500.0
8644,30-34,Woman,UK,Bachelor’s degree,1-3 years,2,2-3 years,Computers/Technology,Large,Large,Data Engineer,45000.0
8645,25-29,Man,Ukraine,Doctoral degree,1-3 years,3,2-3 years,Academics/Education,Large,Small,Data Scientist,500.0
8654,45-49,Man,Sweden,Master’s degree,5-10 years,1,Under 1 year,Medical/Pharmaceutical,Large,Medium,Data Analyst,85000.0
8662,30-34,Man,Poland,Master’s degree,10-20 years,2,5-10 years,Academics/Education,Large,Small,Data Scientist,55000.0
8664,30-34,Woman,France,Doctoral degree,5-10 years,1,4-5 years,Energy/Mining,Small,No team,Data Scientist,1500.0
8669,35-39,Man,Ukraine,Master’s degree,1-3 years,3,Under 1 year,Marketing/CRM,Large,No team,Data Analyst,45000.0
8679,55-59,Man,Poland,Some college,3-5 years,2,2-3 years,Energy/Mining,Small,Small,Data Analyst,12500.0
8689,30-34,Woman,UK,Master’s degree,5-10 years,2,3-4 years,Online Business/Internet-based Sales,Large,Large,Data Engineer,137500.0
8693,55-59,Man,Spain,Master’s degree,10-20 years,2,Under 1 year,Manufacturing/Fabrication,Small,No team,Data Engineer,35000.0
8694,30-34,Man,Ireland,Doctoral degree,3-5 years,1,3-4 years,Energy/Mining,Medium,Small,Data Scientist,75000.0
8697,55-59,Man,Ireland,Bachelor’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,Small,No team,Other,500.0
8698,35-39,Man,Italy,High school,< 1 years,1,Under 1 year,Other,Large,No team,Data Engineer,27500.0
8701,18-21,Man,France,Master’s degree,3-5 years,2,Under 1 year,Shipping/Transportation,Large,Small,Data Engineer,500.0
8702,40-44,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Accounting/Finance,Large,Medium,Data Scientist,112500.0
8708,25-29,Woman,Austria,Doctoral degree,1-3 years,1,Under 1 year,Academics/Education,Medium,Small,Data Scientist,2500.0
8710,18-21,Man,Russia,Bachelor’s degree,1-3 years,3,1-2 years,Non-profit/Service,Small,No team,Data Scientist,500.0
8719,18-21,Woman,Italy,Master’s degree,1-3 years,1,Under 1 year,Hospitality/Entertainment/Sports,Large,Small,Data Analyst,500.0
8720,25-29,Other,France,Master’s degree,3-5 years,3,1-2 years,Academics/Education,Medium,Small,Data Scientist,35000.0
8731,25-29,Man,Italy,Doctoral degree,10-20 years,3,3-4 years,Academics/Education,Large,Small,Data Scientist,1500.0
8735,45-49,Man,Belarus,Doctoral degree,10-20 years,2,4-5 years,Computers/Technology,Small,Small,Data Analyst,35000.0
8744,45-49,Man,UK,Master’s degree,< 1 years,2,Under 1 year,Medical/Pharmaceutical,Small,Small,Data Analyst,27500.0
8746,30-34,Man,Greece,Master’s degree,< 1 years,3,2-3 years,Computers/Technology,Small,Small,Data Analyst,500.0
8747,22-24,Other,UK,Master’s degree,3-5 years,1,1-2 years,Academics/Education,Small,Small,Data Engineer,45000.0
8754,55-59,Woman,UK,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Small,No team,Data Analyst,112500.0
8756,30-34,Man,Poland,Master’s degree,5-10 years,2,4-5 years,Medical/Pharmaceutical,Small,Small,Data Scientist,27500.0
8757,30-34,Man,France,Master’s degree,1-3 years,2,Under 1 year,Government/Public Service,Large,Small,Other,35000.0
8761,40-44,Man,UK,Some college,1-3 years,2,No experience,Government/Public Service,Large,Large,Data Engineer,35000.0
8776,40-44,Man,France,Master’s degree,10-20 years,3,10-20 years,Other,Small,Small,Data Scientist,65000.0
8782,25-29,Man,Poland,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,Medium,Large,Data Engineer,2500.0
8789,35-39,Man,Germany,Doctoral degree,3-5 years,2,1-2 years,Online Service/Internet-based Services,Medium,Large,Data Scientist,95000.0
8790,40-44,Man,France,Master’s degree,10-20 years,4,5-10 years,Computers/Technology,Small,Large,Data Engineer,85000.0
8801,22-24,Man,Russia,Master’s degree,5-10 years,2,3-4 years,Medical/Pharmaceutical,Medium,Large,Data Scientist,12500.0
8802,55-59,Man,Greece,Master’s degree,20+ years,2,Under 1 year,Other,Large,Small,Data Analyst,112500.0
8804,22-24,Man,UK,Master’s degree,1-3 years,2,1-2 years,Accounting/Finance,Medium,Small,Data Scientist,85000.0
8805,55-59,Man,Germany,Master’s degree,1-3 years,1,Under 1 year,Other,Medium,Small,Other,137500.0
8806,35-39,Man,Spain,Doctoral degree,1-3 years,4,1-2 years,Military/Security/Defense,Small,No team,Other,35000.0
8807,25-29,Man,Germany,Master’s degree,3-5 years,3,2-3 years,Online Service/Internet-based Services,Medium,Small,Data Engineer,45000.0
8810,30-34,Man,Russia,Some college,< 1 years,3,Under 1 year,Manufacturing/Fabrication,Medium,Small,Data Engineer,12500.0
8812,30-34,Man,Russia,Master’s degree,5-10 years,4,Under 1 year,Government/Public Service,Large,Small,Data Engineer,55000.0
8821,30-34,Man,UK,Master’s degree,10-20 years,4,1-2 years,Accounting/Finance,Medium,No team,Data Engineer,45000.0
8829,40-44,Woman,France,Master’s degree,10-20 years,3,5-10 years,Marketing/CRM,Large,Large,Data Analyst,112500.0
