,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
16482,40-44,Man,Egypt,Bachelor’s degree,Other,< 1 years,5,Under 1 year,Broadcasting/Communications,0-49 employees,1-2,2000-2999,Other,Small,Small,Other,2500.0,less than 10k
16484,30-34,Woman,Kenya,Master’s degree,Business Analyst,1-3 years,4,2-3 years,Accounting/Finance,"1000-9,999 employees",20+,nan,Other,Large,Large,Data Analyst,39176.716266486306,more than 125k
16485,45-49,Man,Malaysia,Doctoral degree,Program/Project Manager,20+ years,4,10-20 years,Academics/Education,"1000-9,999 employees",20+,0-999,Other,Large,Large,Data Analyst,500.0,less than 10k
16487,35-39,Man,Taiwan,Master’s degree,Data Analyst,10-20 years,3,10-20 years,Online Service/Internet-based Services,50-249 employees,5-9,4000-4999,Other,Medium,Small,Data Analyst,4500.0,less than 10k
16493,30-34,Man,Russia,Master’s degree,Other,1-3 years,2,Under 1 year,Manufacturing/Fabrication,250-999 employees,5-9,10000-14999,Europe,Large,Small,Other,12500.0,between 10k and 30k
16495,25-29,Man,Brazil,Master’s degree,Research Scientist,< 1 years,1,No experience,Hospitality/Entertainment/Sports,0-49 employees,0,nan,Other,Small,No team,Data Scientist,39176.716266486306,more than 125k
16497,30-34,Man,Other,Bachelor’s degree,Machine Learning Engineer,1-3 years,2,1-2 years,Non-profit/Service,0-49 employees,1-2,1000-1999,Other,Small,Small,Data Engineer,1500.0,less than 10k
16498,22-24,Woman,Canada,Master’s degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,nan,Other,Large,Large,Data Engineer,39176.716266486306,more than 125k
16499,35-39,Man,Other,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Government/Public Service,"10,000 or more employees",0,30000-39999,Other,Large,No team,Data Analyst,35000.0,between 30k and 50k
16500,35-39,Man,India,Bachelor’s degree,Software Engineer,10-20 years,2,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",20+,0-999,India,Large,Large,Data Engineer,500.0,less than 10k
16502,22-24,Man,Romania,Bachelor’s degree,Software Engineer,10-20 years,1,No experience,Medical/Pharmaceutical,0-49 employees,0,nan,Europe,Small,No team,Data Engineer,39176.716266486306,more than 125k
16503,25-29,Man,USA,Master’s degree,Data Scientist,3-5 years,2,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",5-9,90000-99999,USA,Large,Small,Data Scientist,95000.0,between 80k and 125k
16504,45-49,Man,Italy,Bachelor’s degree,Program/Project Manager,< 1 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",20+,50000-59999,Europe,Large,Large,Data Analyst,55000.0,between 50k and 80k
16505,40-44,Man,Philippines,Bachelor’s degree,Other,3-5 years,3,Under 1 year,Online Business/Internet-based Sales,0-49 employees,1-2,40000-49999,Other,Small,Small,Other,45000.0,between 30k and 50k
16508,25-29,Man,Canada,Bachelor’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,"1000-9,999 employees",3-4,60000-69999,Other,Large,Small,Other,65000.0,between 50k and 80k
16513,22-24,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Computers/Technology,0-49 employees,3-4,7500-9999,India,Small,Small,Data Engineer,8750.0,less than 10k
16515,25-29,Man,Australia,Some college,Data Analyst,< 1 years,2,Under 1 year,Military/Security/Defense,"1000-9,999 employees",20+,70000-79999,Other,Large,Large,Data Analyst,75000.0,between 50k and 80k
16516,25-29,Man,Japan,Master’s degree,Business Analyst,1-3 years,1,1-2 years,Accounting/Finance,"10,000 or more employees",20+,nan,Other,Large,Large,Data Analyst,39176.716266486306,more than 125k
16517,40-44,Man,UK,Some college,Machine Learning Engineer,10-20 years,4,5-10 years,Manufacturing/Fabrication,"10,000 or more employees",20+,125000-149999,Europe,Large,Large,Data Engineer,137500.0,more than 125k
16519,30-34,Man,Argentina,Some college,Other,< 1 years,3,No experience,Broadcasting/Communications,"10,000 or more employees",20+,0-999,Other,Large,Large,Other,500.0,less than 10k
16520,55-59,Man,Spain,Bachelor’s degree,Software Engineer,20+ years,2,1-2 years,Computers/Technology,"1000-9,999 employees",20+,50000-59999,Europe,Large,Large,Data Engineer,55000.0,between 50k and 80k
16522,25-29,Man,Turkey,Master’s degree,Data Scientist,1-3 years,7,1-2 years,Manufacturing/Fabrication,50-249 employees,1-2,1000-1999,Other,Medium,Small,Data Scientist,1500.0,less than 10k
16523,50-54,Man,USA,Doctoral degree,Data Scientist,10-20 years,3,10-20 years,Other,"1000-9,999 employees",20+,200000-249999,USA,Large,Large,Data Scientist,225000.0,more than 125k
16525,35-39,Woman,Other,Master’s degree,Research Scientist,3-5 years,1,3-4 years,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
16529,45-49,Man,Greece,Doctoral degree,Research Scientist,3-5 years,2,No experience,Government/Public Service,250-999 employees,0,0-999,Europe,Large,No team,Data Scientist,500.0,less than 10k
16531,35-39,Man,Pakistan,Doctoral degree,Research Scientist,1-3 years,2,1-2 years,Academics/Education,50-249 employees,20+,5000-7499,Other,Medium,Large,Data Scientist,6250.0,less than 10k
16532,40-44,Woman,Other,Master’s degree,Data Analyst,3-5 years,5,2-3 years,Academics/Education,50-249 employees,3-4,3000-3999,Other,Medium,Small,Data Analyst,3500.0,less than 10k
16536,35-39,Man,Kenya,Bachelor’s degree,Data Engineer,3-5 years,5,2-3 years,Computers/Technology,0-49 employees,1-2,4000-4999,Other,Small,Small,Data Engineer,4500.0,less than 10k
16538,45-49,Man,Netherlands,Master’s degree,Software Engineer,20+ years,7,4-5 years,Energy/Mining,0-49 employees,1-2,100000-124999,Europe,Small,Small,Data Engineer,112500.0,between 80k and 125k
16539,55-59,Man,India,Master’s degree,Data Scientist,3-5 years,4,10-20 years,Retail/Sales,0-49 employees,1-2,100000-124999,India,Small,Small,Data Scientist,112500.0,between 80k and 125k
16540,35-39,Man,Nigeria,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Analyst,500.0,less than 10k
16541,25-29,Man,Bangladesh,Bachelor’s degree,Data Engineer,3-5 years,3,1-2 years,Computers/Technology,0-49 employees,3-4,2000-2999,Other,Small,Small,Data Engineer,2500.0,less than 10k
16543,45-49,Man,Turkey,Master’s degree,Research Scientist,20+ years,4,3-4 years,Academics/Education,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Scientist,12500.0,between 10k and 30k
16544,25-29,Man,UK,Bachelor’s degree,Data Scientist,3-5 years,2,1-2 years,Broadcasting/Communications,"10,000 or more employees",20+,60000-69999,Europe,Large,Large,Data Scientist,65000.0,between 50k and 80k
16548,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,Under 1 year,Retail/Sales,50-249 employees,1-2,7500-9999,India,Medium,Small,Data Scientist,8750.0,less than 10k
16549,22-24,Man,India,Master’s degree,Business Analyst,1-3 years,2,1-2 years,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Analyst,500.0,less than 10k
16550,50-54,Man,Australia,Professional doctorate,Program/Project Manager,20+ years,2,5-10 years,Accounting/Finance,250-999 employees,1-2,200000-249999,Other,Large,Small,Data Analyst,225000.0,more than 125k
16551,30-34,Man,Nigeria,Master’s degree,Business Analyst,5-10 years,3,1-2 years,Computers/Technology,0-49 employees,1-2,3000-3999,Other,Small,Small,Data Analyst,3500.0,less than 10k
16552,22-24,Woman,Kenya,Master’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,250-999 employees,3-4,3000-3999,Other,Large,Small,Data Engineer,3500.0,less than 10k
16554,25-29,Man,India,Master’s degree,Research Scientist,3-5 years,2,1-2 years,Computers/Technology,"10,000 or more employees",20+,nan,India,Large,Large,Data Scientist,39176.716266486306,more than 125k
16555,22-24,Man,Egypt,Bachelor’s degree,Other,1-3 years,4,No experience,Other,50-249 employees,0,nan,Other,Medium,No team,Other,39176.716266486306,more than 125k
16556,45-49,Man,India,Master’s degree,Program/Project Manager,20+ years,2,4-5 years,Computers/Technology,"10,000 or more employees",20+,40000-49999,India,Large,Large,Data Analyst,45000.0,between 30k and 50k
16557,25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,No experience,Non-profit/Service,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
16558,25-29,Man,France,Professional doctorate,Research Scientist,1-3 years,7,1-2 years,Academics/Education,250-999 employees,3-4,15000-19999,Europe,Large,Small,Data Scientist,17500.0,between 10k and 30k
16561,45-49,Woman,Japan,Doctoral degree,Data Engineer,3-5 years,4,Under 1 year,Academics/Education,"1000-9,999 employees",5-9,100000-124999,Other,Large,Small,Data Engineer,112500.0,between 80k and 125k
16562,22-24,Man,Nepal,Master’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,"1000-9,999 employees",15-19,2000-2999,Other,Large,Medium,Data Engineer,2500.0,less than 10k
16566,35-39,Man,UAE,Master’s degree,Software Engineer,3-5 years,1,No experience,Government/Public Service,"10,000 or more employees",0,3000-3999,Other,Large,No team,Data Engineer,3500.0,less than 10k
16567,22-24,Man,Other,Bachelor’s degree,Data Analyst,3-5 years,1,No experience,Online Service/Internet-based Services,0-49 employees,1-2,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
16569,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,3,1-2 years,Computers/Technology,"10,000 or more employees",1-2,10000-14999,India,Large,Small,Data Analyst,12500.0,between 10k and 30k
16570,25-29,Man,Belgium,Bachelor’s degree,Software Engineer,3-5 years,1,1-2 years,Academics/Education,0-49 employees,3-4,0-999,Europe,Small,Small,Data Engineer,500.0,less than 10k
16571,30-34,Man,Egypt,Bachelor’s degree,Data Analyst,1-3 years,4,2-3 years,Broadcasting/Communications,"10,000 or more employees",0,0-999,Other,Large,No team,Data Analyst,500.0,less than 10k
16573,25-29,Man,Turkey,Bachelor’s degree,Machine Learning Engineer,3-5 years,3,Under 1 year,Other,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
16574,25-29,Woman,Indonesia,Bachelor’s degree,Other,< 1 years,2,Under 1 year,Manufacturing/Fabrication,50-249 employees,0,0-999,Other,Medium,No team,Other,500.0,less than 10k
16579,30-34,Man,Spain,Master’s degree,Program/Project Manager,< 1 years,1,Under 1 year,Government/Public Service,"1000-9,999 employees",0,40000-49999,Europe,Large,No team,Data Analyst,45000.0,between 30k and 50k
16580,22-24,Man,Brazil,Master’s degree,Data Analyst,3-5 years,3,2-3 years,Accounting/Finance,"10,000 or more employees",20+,25000-29999,Other,Large,Large,Data Analyst,27500.0,between 10k and 30k
16581,35-39,Man,Mexico,Doctoral degree,Research Scientist,10-20 years,3,Under 1 year,Academics/Education,"1000-9,999 employees",5-9,30000-39999,Other,Large,Small,Data Scientist,35000.0,between 30k and 50k
16583,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,5,Under 1 year,Academics/Education,"1000-9,999 employees",20+,nan,India,Large,Large,Data Engineer,39176.716266486306,more than 125k
16585,30-34,Man,China,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",20+,20000-24999,Other,Large,Large,Data Analyst,22500.0,between 10k and 30k
16587,25-29,Woman,Greece,Master’s degree,Data Scientist,< 1 years,3,1-2 years,Computers/Technology,0-49 employees,5-9,7500-9999,Europe,Small,Small,Data Scientist,8750.0,less than 10k
16589,40-44,Man,Argentina,Master’s degree,Software Engineer,20+ years,4,1-2 years,Academics/Education,250-999 employees,0,60000-69999,Other,Large,No team,Data Engineer,65000.0,between 50k and 80k
16590,35-39,Man,Italy,Doctoral degree,Research Scientist,5-10 years,2,5-10 years,Academics/Education,50-249 employees,1-2,20000-24999,Europe,Medium,Small,Data Scientist,22500.0,between 10k and 30k
16591,40-44,Man,India,Master’s degree,Program/Project Manager,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",20+,50000-59999,India,Large,Large,Data Analyst,55000.0,between 50k and 80k
16594,45-49,Man,Japan,Doctoral degree,Other,3-5 years,4,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",1-2,30000-39999,Other,Large,Small,Other,35000.0,between 30k and 50k
16595,40-44,Man,Australia,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Computers/Technology,250-999 employees,20+,200000-249999,Other,Large,Large,Data Scientist,225000.0,more than 125k
16597,25-29,Man,Brazil,Master’s degree,Data Scientist,1-3 years,1,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",5-9,5000-7499,Other,Large,Small,Data Scientist,6250.0,less than 10k
16600,35-39,Man,Chile,Doctoral degree,Other,10-20 years,5,2-3 years,Computers/Technology,0-49 employees,3-4,10000-14999,Other,Small,Small,Other,12500.0,between 10k and 30k
16603,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,4,Under 1 year,Medical/Pharmaceutical,250-999 employees,20+,7500-9999,India,Large,Large,Data Engineer,8750.0,less than 10k
16604,40-44,Man,USA,Doctoral degree,Software Engineer,5-10 years,2,No experience,Online Business/Internet-based Sales,0-49 employees,1-2,125000-149999,USA,Small,Small,Data Engineer,137500.0,more than 125k
16606,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,6,No experience,Online Service/Internet-based Services,0-49 employees,0,10000-14999,India,Small,No team,Data Engineer,12500.0,between 10k and 30k
16609,45-49,Man,India,Master’s degree,Data Scientist,20+ years,3,4-5 years,Academics/Education,0-49 employees,1-2,60000-69999,India,Small,Small,Data Scientist,65000.0,between 50k and 80k
16610,25-29,Man,Chile,Bachelor’s degree,Data Analyst,1-3 years,2,No experience,Academics/Education,250-999 employees,3-4,10000-14999,Other,Large,Small,Data Analyst,12500.0,between 10k and 30k
16611,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,No experience,Marketing/CRM,250-999 employees,0,5000-7499,India,Large,No team,Data Engineer,6250.0,less than 10k
16613,35-39,Man,Spain,Doctoral degree,Machine Learning Engineer,5-10 years,1,1-2 years,Accounting/Finance,"1000-9,999 employees",3-4,30000-39999,Europe,Large,Small,Data Engineer,35000.0,between 30k and 50k
16615,35-39,Man,China,Bachelor’s degree,Software Engineer,10-20 years,2,No experience,Computers/Technology,"1000-9,999 employees",20+,90000-99999,Other,Large,Large,Data Engineer,95000.0,between 80k and 125k
16616,45-49,Man,India,Doctoral degree,Other,5-10 years,1,1-2 years,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Other,500.0,less than 10k
16618,40-44,Man,USA,Bachelor’s degree,Program/Project Manager,3-5 years,4,Under 1 year,Broadcasting/Communications,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Analyst,175000.0,more than 125k
16621,30-34,Woman,UAE,Master’s degree,Machine Learning Engineer,5-10 years,4,2-3 years,Academics/Education,250-999 employees,15-19,nan,Other,Large,Medium,Data Engineer,39176.716266486306,more than 125k
16622,22-24,Woman,India,Doctoral degree,Data Engineer,3-5 years,4,Under 1 year,Computers/Technology,50-249 employees,10-14,7500-9999,India,Medium,Medium,Data Engineer,8750.0,less than 10k
16623,35-39,Man,Chile,Master’s degree,Business Analyst,< 1 years,2,Under 1 year,Energy/Mining,"1000-9,999 employees",10-14,1000-1999,Other,Large,Medium,Data Analyst,1500.0,less than 10k
16624,45-49,Man,USA,Master’s degree,Business Analyst,1-3 years,3,Under 1 year,Shipping/Transportation,"1000-9,999 employees",1-2,90000-99999,USA,Large,Small,Data Analyst,95000.0,between 80k and 125k
16625,40-44,Man,Argentina,Master’s degree,Other,< 1 years,2,No experience,Academics/Education,"10,000 or more employees",10-14,10000-14999,Other,Large,Medium,Other,12500.0,between 10k and 30k
16627,35-39,Man,USA,Master’s degree,Data Scientist,10-20 years,5,3-4 years,Medical/Pharmaceutical,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Scientist,175000.0,more than 125k
16628,25-29,Man,Ghana,Master’s degree,Business Analyst,< 1 years,2,1-2 years,Accounting/Finance,"1000-9,999 employees",3-4,2000-2999,Other,Large,Small,Data Analyst,2500.0,less than 10k
16629,18-21,Man,USA,Bachelor’s degree,Machine Learning Engineer,1-3 years,6,Under 1 year,Medical/Pharmaceutical,"10,000 or more employees",20+,90000-99999,USA,Large,Large,Data Engineer,95000.0,between 80k and 125k
16631,30-34,Man,India,Master’s degree,Data Scientist,< 1 years,3,Under 1 year,Computers/Technology,0-49 employees,3-4,0-999,India,Small,Small,Data Scientist,500.0,less than 10k
16632,55-59,Man,Spain,Doctoral degree,Research Scientist,20+ years,3,5-10 years,Academics/Education,0-49 employees,1-2,100000-124999,Europe,Small,Small,Data Scientist,112500.0,between 80k and 125k
16633,30-34,Man,China,Master’s degree,Product Manager,1-3 years,1,1-2 years,Accounting/Finance,"10,000 or more employees",20+,40000-49999,Other,Large,Large,Data Analyst,45000.0,between 30k and 50k
16635,25-29,Man,Brazil,Doctoral degree,Research Scientist,5-10 years,3,5-10 years,Academics/Education,250-999 employees,3-4,4000-4999,Other,Large,Small,Data Scientist,4500.0,less than 10k
16636,45-49,Woman,Japan,Bachelor’s degree,Data Engineer,10-20 years,6,1-2 years,Marketing/CRM,0-49 employees,0,40000-49999,Other,Small,No team,Data Engineer,45000.0,between 30k and 50k
16638,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,2-3 years,Hospitality/Entertainment/Sports,"10,000 or more employees",20+,30000-39999,India,Large,Large,Data Scientist,35000.0,between 30k and 50k
16639,22-24,Man,India,Bachelor’s degree,Other,1-3 years,2,1-2 years,Computers/Technology,0-49 employees,3-4,0-999,India,Small,Small,Other,500.0,less than 10k
16640,40-44,Man,Japan,Doctoral degree,Data Scientist,10-20 years,2,10-20 years,Other,0-49 employees,3-4,15000-19999,Other,Small,Small,Data Scientist,17500.0,between 10k and 30k
16643,30-34,Man,China,Bachelor’s degree,Software Engineer,5-10 years,1,No experience,Online Service/Internet-based Services,0-49 employees,1-2,90000-99999,Other,Small,Small,Data Engineer,95000.0,between 80k and 125k
16644,25-29,Man,Ghana,Bachelor’s degree,Data Analyst,< 1 years,2,Under 1 year,Online Service/Internet-based Services,0-49 employees,1-2,4000-4999,Other,Small,Small,Data Analyst,4500.0,less than 10k
16645,30-34,Man,Australia,Bachelor’s degree,Data Analyst,3-5 years,2,Under 1 year,Computers/Technology,50-249 employees,0,70000-79999,Other,Medium,No team,Data Analyst,75000.0,between 50k and 80k
16647,22-24,Man,Sri Lanka,Bachelor’s degree,Software Engineer,1-3 years,9,Under 1 year,Shipping/Transportation,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
16648,55-59,Man,USA,Doctoral degree,Data Scientist,10-20 years,4,10-20 years,Online Service/Internet-based Services,0-49 employees,1-2,300000-499999,USA,Small,Small,Data Scientist,400000.0,more than 125k
16653,30-34,Woman,Iran,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
16654,30-34,Man,Australia,Doctoral degree,Data Scientist,10-20 years,1,5-10 years,Energy/Mining,"10,000 or more employees",3-4,100000-124999,Other,Large,Small,Data Scientist,112500.0,between 80k and 125k
16655,35-39,Man,Japan,Master’s degree,Software Engineer,10-20 years,1,No experience,Academics/Education,250-999 employees,1-2,10000-14999,Other,Large,Small,Data Engineer,12500.0,between 10k and 30k
16658,35-39,Man,France,Master’s degree,Business Analyst,1-3 years,3,No experience,Insurance/Risk Assessment,50-249 employees,0,2000-2999,Europe,Medium,No team,Data Analyst,2500.0,less than 10k
16663,50-54,Man,Turkey,Master’s degree,Data Analyst,20+ years,1,1-2 years,Government/Public Service,"1000-9,999 employees",20+,10000-14999,Other,Large,Large,Data Analyst,12500.0,between 10k and 30k
16664,18-21,Man,Mexico,Some college,Machine Learning Engineer,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
16665,40-44,Woman,India,Master’s degree,Business Analyst,5-10 years,7,1-2 years,Computers/Technology,"10,000 or more employees",10-14,10000-14999,India,Large,Medium,Data Analyst,12500.0,between 10k and 30k
16668,40-44,Man,Nigeria,Master’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
16669,40-44,Man,Russia,Doctoral degree,Data Scientist,20+ years,6,20 or more years,Energy/Mining,"10,000 or more employees",10-14,30000-39999,Europe,Large,Medium,Data Scientist,35000.0,between 30k and 50k
16672,35-39,Woman,Germany,Doctoral degree,Data Analyst,3-5 years,3,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",20+,60000-69999,Europe,Large,Large,Data Analyst,65000.0,between 50k and 80k
16673,35-39,Man,Germany,Master’s degree,Data Analyst,5-10 years,1,No experience,Medical/Pharmaceutical,0-49 employees,0,0-999,Europe,Small,No team,Data Analyst,500.0,less than 10k
16674,25-29,Man,Thailand,Master’s degree,Software Engineer,3-5 years,6,Under 1 year,Accounting/Finance,250-999 employees,20+,10000-14999,Other,Large,Large,Data Engineer,12500.0,between 10k and 30k
16675,25-29,Man,Mexico,Bachelor’s degree,Data Analyst,< 1 years,1,No experience,Accounting/Finance,"10,000 or more employees",20+,10000-14999,Other,Large,Large,Data Analyst,12500.0,between 10k and 30k
16676,30-34,Man,Turkey,Doctoral degree,Data Scientist,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
16678,22-24,Other,India,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,0-999,India,Large,Large,Data Analyst,500.0,less than 10k
16680,35-39,Man,Iran,Professional doctorate,Machine Learning Engineer,10-20 years,2,10-20 years,Academics/Education,250-999 employees,15-19,0-999,Other,Large,Medium,Data Engineer,500.0,less than 10k
16681,30-34,Man,India,Master’s degree,Program/Project Manager,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",10-14,10000-14999,India,Large,Medium,Data Analyst,12500.0,between 10k and 30k
16682,45-49,Man,USA,I prefer not to answer,Other,10-20 years,1,No experience,Hospitality/Entertainment/Sports,"1000-9,999 employees",3-4,30000-39999,USA,Large,Small,Other,35000.0,between 30k and 50k
16683,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Non-profit/Service,"10,000 or more employees",5-9,1000-1999,Other,Large,Small,Data Analyst,1500.0,less than 10k
16684,25-29,Man,Mexico,Bachelor’s degree,Other,< 1 years,2,No experience,Energy/Mining,"1000-9,999 employees",0,3000-3999,Other,Large,No team,Other,3500.0,less than 10k
16685,18-21,Woman,Nigeria,Some college,Software Engineer,1-3 years,2,No experience,Computers/Technology,50-249 employees,0,60000-69999,Other,Medium,No team,Data Engineer,65000.0,between 50k and 80k
16686,35-39,Man,Belarus,Master’s degree,Software Engineer,5-10 years,3,1-2 years,Online Business/Internet-based Sales,0-49 employees,1-2,50000-59999,Europe,Small,Small,Data Engineer,55000.0,between 50k and 80k
16687,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,1,Under 1 year,Other,0-49 employees,3-4,10000-14999,India,Small,Small,Data Scientist,12500.0,between 10k and 30k
16693,30-34,Man,Japan,Master’s degree,Other,5-10 years,1,No experience,Computers/Technology,"1000-9,999 employees",0,30000-39999,Other,Large,No team,Other,35000.0,between 30k and 50k
16694,55-59,Man,Netherlands,Master’s degree,Research Scientist,20+ years,3,5-10 years,Government/Public Service,"1000-9,999 employees",20+,0-999,Europe,Large,Large,Data Scientist,500.0,less than 10k
16697,45-49,Man,USA,Doctoral degree,Data Scientist,20+ years,4,10-20 years,Government/Public Service,0-49 employees,3-4,150000-199999,USA,Small,Small,Data Scientist,175000.0,more than 125k
16699,30-34,Man,Portugal,Bachelor’s degree,Data Scientist,1-3 years,2,2-3 years,Retail/Sales,"1000-9,999 employees",5-9,50000-59999,Europe,Large,Small,Data Scientist,55000.0,between 50k and 80k
16701,25-29,Man,Russia,Master’s degree,Data Analyst,5-10 years,2,2-3 years,Retail/Sales,"10,000 or more employees",20+,15000-19999,Europe,Large,Large,Data Analyst,17500.0,between 10k and 30k
16702,35-39,Man,Brazil,Bachelor’s degree,Program/Project Manager,3-5 years,3,Under 1 year,Manufacturing/Fabrication,250-999 employees,0,80000-89999,Other,Large,No team,Data Analyst,85000.0,between 80k and 125k
16706,25-29,Woman,South Africa,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Academics/Education,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Scientist,12500.0,between 10k and 30k
16708,35-39,Man,USA,Master’s degree,Other,1-3 years,1,1-2 years,Computers/Technology,"1000-9,999 employees",1-2,125000-149999,USA,Large,Small,Other,137500.0,more than 125k
16711,18-21,Man,India,Bachelor’s degree,Data Engineer,< 1 years,2,1-2 years,Medical/Pharmaceutical,"10,000 or more employees",15-19,7500-9999,India,Large,Medium,Data Engineer,8750.0,less than 10k
16712,25-29,Man,Belarus,Some college,Data Scientist,< 1 years,1,No experience,Non-profit/Service,0-49 employees,0,2000-2999,Europe,Small,No team,Data Scientist,2500.0,less than 10k
16713,40-44,Man,India,Doctoral degree,Other,5-10 years,3,4-5 years,Other,250-999 employees,1-2,0-999,India,Large,Small,Other,500.0,less than 10k
16714,30-34,Man,Italy,Doctoral degree,Research Scientist,5-10 years,4,4-5 years,Academics/Education,0-49 employees,0,15000-19999,Europe,Small,No team,Data Scientist,17500.0,between 10k and 30k
16715,45-49,Man,Italy,Master’s degree,Data Scientist,20+ years,4,4-5 years,Computers/Technology,0-49 employees,1-2,80000-89999,Europe,Small,Small,Data Scientist,85000.0,between 80k and 125k
16717,22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,1,Under 1 year,Other,"10,000 or more employees",3-4,0-999,India,Large,Small,Data Engineer,500.0,less than 10k
16718,40-44,Man,Other,Master’s degree,Research Scientist,10-20 years,7,4-5 years,Government/Public Service,50-249 employees,1-2,2000-2999,Other,Medium,Small,Data Scientist,2500.0,less than 10k
16720,35-39,Man,Turkey,Doctoral degree,Other,5-10 years,2,5-10 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,90000-99999,Other,Large,Large,Other,95000.0,between 80k and 125k
16721,25-29,Man,Other,Master’s degree,Software Engineer,3-5 years,2,1-2 years,Computers/Technology,50-249 employees,0,15000-19999,Other,Medium,No team,Data Engineer,17500.0,between 10k and 30k
16723,45-49,Man,Argentina,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Accounting/Finance,250-999 employees,0,20000-24999,Other,Large,No team,Data Scientist,22500.0,between 10k and 30k
16726,35-39,Man,Sweden,Master’s degree,Software Engineer,10-20 years,5,No experience,Computers/Technology,"1000-9,999 employees",20+,70000-79999,Europe,Large,Large,Data Engineer,75000.0,between 50k and 80k
16728,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,0,0-999,India,Small,No team,Data Scientist,500.0,less than 10k
16731,22-24,Man,India,Master’s degree,Data Scientist,1-3 years,6,1-2 years,Manufacturing/Fabrication,250-999 employees,5-9,0-999,India,Large,Small,Data Scientist,500.0,less than 10k
16733,35-39,Man,France,Bachelor’s degree,Data Scientist,3-5 years,2,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",5-9,15000-19999,Europe,Large,Small,Data Scientist,17500.0,between 10k and 30k
16735,25-29,Woman,Kenya,Some college,Software Engineer,3-5 years,2,Under 1 year,Marketing/CRM,0-49 employees,0,5000-7499,Other,Small,No team,Data Engineer,6250.0,less than 10k
