,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,salary_avg,salary_group,role_group
15170,25-29,Man,France,Master’s degree,Data Scientist,3-5 years,2,3-4 years,Computers/Technology,0-49 employees,10-14,50000-59999,Europe,Small,Medium,55000.0,between 50k and 80k,Data Scientist
15172,30-34,Man,India,Master’s degree,Statistician,3-5 years,3,5-10 years,Online Service/Internet-based Services,50-249 employees,5-9,1000-1999,India,Medium,Small,1500.0,less than 10k,Data Scientist
15173,22-24,Man,Other,Master’s degree,Data Scientist,5-10 years,7,Under 1 year,Government/Public Service,"10,000 or more employees",0,0-999,Other,Large,No team,500.0,less than 10k,Data Scientist
15176,50-54,Man,South Korea,High school,Program/Project Manager,10-20 years,5,Under 1 year,Academics/Education,0-49 employees,1-2,40000-49999,Other,Small,Small,45000.0,between 30k and 50k,Data Analyst
15177,18-21,Man,Nepal,Bachelor’s degree,Software Engineer,3-5 years,5,Under 1 year,Computers/Technology,"10,000 or more employees",20+,0-999,Other,Large,Large,500.0,less than 10k,Data Engineer
15179,25-29,Man,South Korea,Doctoral degree,Software Engineer,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Engineer
15180,22-24,Man,Brazil,Master’s degree,Data Analyst,3-5 years,6,Under 1 year,Energy/Mining,0-49 employees,3-4,4000-4999,Other,Small,Small,4500.0,less than 10k,Data Analyst
15183,25-29,Man,Japan,Bachelor’s degree,Software Engineer,3-5 years,3,2-3 years,Online Business/Internet-based Sales,"10,000 or more employees",3-4,50000-59999,Other,Large,Small,55000.0,between 50k and 80k,Data Engineer
15184,35-39,Man,Germany,Some college,Software Engineer,3-5 years,5,2-3 years,Online Business/Internet-based Sales,50-249 employees,3-4,2000-2999,Europe,Medium,Small,2500.0,less than 10k,Data Engineer
15185,18-21,Man,Pakistan,Master’s degree,Data Scientist,3-5 years,1,1-2 years,Computers/Technology,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
15186,35-39,Man,USA,I prefer not to answer,Machine Learning Engineer,10-20 years,3,10-20 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,125000-149999,USA,Large,Large,137500.0,more than 125k,Data Engineer
15187,45-49,Man,Canada,Master’s degree,Business Analyst,5-10 years,4,2-3 years,Accounting/Finance,250-999 employees,5-9,150000-199999,Other,Large,Small,175000.0,more than 125k,Data Analyst
15188,30-34,Woman,Brazil,Master’s degree,Data Scientist,3-5 years,2,1-2 years,Manufacturing/Fabrication,50-249 employees,0,20000-24999,Other,Medium,No team,22500.0,between 10k and 30k,Data Scientist
15189,40-44,Man,Mexico,Bachelor’s degree,Other,3-5 years,1,No experience,Other,"10,000 or more employees",20+,60000-69999,Other,Large,Large,65000.0,between 50k and 80k,Other
15190,50-54,Woman,Argentina,Bachelor’s degree,Business Analyst,< 1 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",20+,1000-1999,Other,Large,Large,1500.0,less than 10k,Data Analyst
15192,55-59,Man,Germany,Master’s degree,Machine Learning Engineer,20+ years,1,No experience,Computers/Technology,50-249 employees,3-4,70000-79999,Europe,Medium,Small,75000.0,between 50k and 80k,Data Engineer
15193,35-39,Man,Turkey,Doctoral degree,Data Scientist,1-3 years,2,1-2 years,Academics/Education,250-999 employees,10-14,20000-24999,Other,Large,Medium,22500.0,between 10k and 30k,Data Scientist
15194,50-54,Man,Spain,Master’s degree,Business Analyst,3-5 years,2,Under 1 year,Medical/Pharmaceutical,0-49 employees,0,40000-49999,Europe,Small,No team,45000.0,between 30k and 50k,Data Analyst
15196,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,5,1-2 years,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Scientist
15200,30-34,Man,USA,Master’s degree,Data Scientist,5-10 years,4,1-2 years,Insurance/Risk Assessment,"1000-9,999 employees",5-9,100000-124999,USA,Large,Small,112500.0,between 80k and 125k,Data Scientist
15201,40-44,Woman,Argentina,Master’s degree,Program/Project Manager,20+ years,2,3-4 years,Computers/Technology,"10,000 or more employees",20+,10000-14999,Other,Large,Large,12500.0,between 10k and 30k,Data Analyst
15203,30-34,Man,Russia,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Shipping/Transportation,50-249 employees,3-4,7500-9999,Europe,Medium,Small,8750.0,less than 10k,Data Analyst
15204,25-29,Man,Saudi Arabia,Doctoral degree,Statistician,< 1 years,2,Under 1 year,Academics/Education,250-999 employees,0,40000-49999,Other,Large,No team,45000.0,between 30k and 50k,Data Scientist
15205,40-44,Man,Russia,Master’s degree,Program/Project Manager,3-5 years,2,4-5 years,Academics/Education,"10,000 or more employees",20+,60000-69999,Europe,Large,Large,65000.0,between 50k and 80k,Data Analyst
15206,22-24,Woman,Philippines,Bachelor’s degree,DBA/Database Engineer,1-3 years,2,Under 1 year,Non-profit/Service,"1000-9,999 employees",15-19,7500-9999,Other,Large,Medium,8750.0,less than 10k,Data Engineer
15210,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,1-2 years,Accounting/Finance,"10,000 or more employees",20+,10000-14999,India,Large,Large,12500.0,between 10k and 30k,Data Engineer
15211,30-34,Man,UAE,Bachelor’s degree,Data Scientist,5-10 years,1,1-2 years,Shipping/Transportation,50-249 employees,1-2,500000-999999,Other,Medium,Small,750000.0,more than 125k,Data Scientist
15215,25-29,Man,Japan,Master’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",20+,40000-49999,Other,Large,Large,45000.0,between 30k and 50k,Other
15216,35-39,Man,USA,Doctoral degree,Research Scientist,10-20 years,2,10-20 years,Academics/Education,"10,000 or more employees",3-4,100000-124999,USA,Large,Small,112500.0,between 80k and 125k,Data Scientist
15218,40-44,Man,China,Bachelor’s degree,Software Engineer,10-20 years,2,Under 1 year,Computers/Technology,250-999 employees,5-9,40000-49999,Other,Large,Small,45000.0,between 30k and 50k,Data Engineer
15220,30-34,Man,USA,Bachelor’s degree,Product Manager,5-10 years,4,3-4 years,Shipping/Transportation,"10,000 or more employees",10-14,100000-124999,USA,Large,Medium,112500.0,between 80k and 125k,Data Analyst
15224,45-49,Man,USA,Bachelor’s degree,Data Scientist,1-3 years,2,2-3 years,Medical/Pharmaceutical,"10,000 or more employees",20+,60000-69999,USA,Large,Large,65000.0,between 50k and 80k,Data Scientist
15225,55-59,Man,Ireland,Doctoral degree,Research Scientist,5-10 years,3,5-10 years,Academics/Education,250-999 employees,10-14,40000-49999,Europe,Large,Medium,45000.0,between 30k and 50k,Data Scientist
15226,22-24,Man,Nepal,Bachelor’s degree,Data Scientist,3-5 years,5,Under 1 year,Academics/Education,"1000-9,999 employees",5-9,1000-1999,Other,Large,Small,1500.0,less than 10k,Data Scientist
15227,40-44,Man,Other,Master’s degree,Other,1-3 years,2,Under 1 year,Manufacturing/Fabrication,250-999 employees,0,300000-499999,Other,Large,No team,400000.0,more than 125k,Other
15229,22-24,Man,Poland,Master’s degree,Data Scientist,5-10 years,6,Under 1 year,Computers/Technology,"10,000 or more employees",20+,25000-29999,Europe,Large,Large,27500.0,between 10k and 30k,Data Scientist
15231,25-29,Man,South Korea,Bachelor’s degree,Data Scientist,3-5 years,3,2-3 years,Accounting/Finance,50-249 employees,3-4,2000-2999,Other,Medium,Small,2500.0,less than 10k,Data Scientist
15232,25-29,Woman,Taiwan,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",5-9,15000-19999,Other,Large,Small,17500.0,between 10k and 30k,Data Analyst
15233,45-49,Man,UK,Master’s degree,Software Engineer,1-3 years,2,Under 1 year,Broadcasting/Communications,"1000-9,999 employees",20+,90000-99999,Europe,Large,Large,95000.0,between 80k and 125k,Data Engineer
15234,30-34,Man,Other,Master’s degree,Data Scientist,1-3 years,1,4-5 years,Online Business/Internet-based Sales,0-49 employees,5-9,10000-14999,Other,Small,Small,12500.0,between 10k and 30k,Data Scientist
15235,25-29,Man,Spain,Some college,Program/Project Manager,< 1 years,1,Under 1 year,Government/Public Service,0-49 employees,0,25000-29999,Europe,Small,No team,27500.0,between 10k and 30k,Data Analyst
15237,22-24,Man,Canada,Bachelor’s degree,Software Engineer,1-3 years,3,1-2 years,Computers/Technology,"10,000 or more employees",20+,5000-7499,Other,Large,Large,6250.0,less than 10k,Data Engineer
15241,25-29,Man,UK,Master’s degree,Software Engineer,5-10 years,3,1-2 years,Computers/Technology,0-49 employees,0,50000-59999,Europe,Small,No team,55000.0,between 50k and 80k,Data Engineer
15242,25-29,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",5-9,5000-7499,India,Large,Small,6250.0,less than 10k,Data Scientist
15243,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,4,No experience,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Scientist
15244,25-29,Man,USA,Some college,Data Analyst,1-3 years,3,Under 1 year,Retail/Sales,0-49 employees,3-4,70000-79999,USA,Small,Small,75000.0,between 50k and 80k,Data Analyst
15245,25-29,Woman,South Korea,Master’s degree,Machine Learning Engineer,3-5 years,1,2-3 years,Manufacturing/Fabrication,50-249 employees,5-9,0-999,Other,Medium,Small,500.0,less than 10k,Data Engineer
15246,22-24,Man,USA,Master’s degree,Data Scientist,< 1 years,3,1-2 years,Computers/Technology,"10,000 or more employees",5-9,10000-14999,USA,Large,Small,12500.0,between 10k and 30k,Data Scientist
15247,60-69,Man,France,High school,Machine Learning Engineer,5-10 years,2,Under 1 year,Medical/Pharmaceutical,"10,000 or more employees",0,60000-69999,Europe,Large,No team,65000.0,between 50k and 80k,Data Engineer
15248,30-34,Man,USA,Bachelor’s degree,Other,< 1 years,1,No experience,Shipping/Transportation,250-999 employees,0,50000-59999,USA,Large,No team,55000.0,between 50k and 80k,Other
15249,25-29,Man,France,Master’s degree,Data Scientist,5-10 years,6,1-2 years,Online Service/Internet-based Services,50-249 employees,3-4,50000-59999,Europe,Medium,Small,55000.0,between 50k and 80k,Data Scientist
15251,55-59,Man,Spain,Doctoral degree,Research Scientist,1-3 years,2,4-5 years,Other,50-249 employees,1-2,3000-3999,Europe,Medium,Small,3500.0,less than 10k,Data Scientist
15252,40-44,Man,Sweden,Doctoral degree,Research Scientist,10-20 years,5,4-5 years,Energy/Mining,"1000-9,999 employees",5-9,100000-124999,Europe,Large,Small,112500.0,between 80k and 125k,Data Scientist
15254,30-34,Man,Poland,Master’s degree,Software Engineer,5-10 years,5,2-3 years,Medical/Pharmaceutical,0-49 employees,3-4,40000-49999,Europe,Small,Small,45000.0,between 30k and 50k,Data Engineer
15256,22-24,Man,India,Master’s degree,Other,< 1 years,4,Under 1 year,Academics/Education,0-49 employees,3-4,0-999,India,Small,Small,500.0,less than 10k,Other
15259,30-34,Man,Iran,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
15262,30-34,Woman,Russia,Bachelor’s degree,Data Scientist,< 1 years,1,No experience,Medical/Pharmaceutical,0-49 employees,0,0-999,Europe,Small,No team,500.0,less than 10k,Data Scientist
15263,55-59,Man,UK,Master’s degree,Statistician,20+ years,3,20 or more years,Hospitality/Entertainment/Sports,"1000-9,999 employees",20+,100000-124999,Europe,Large,Large,112500.0,between 80k and 125k,Data Scientist
15264,22-24,Man,Austria,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Hospitality/Entertainment/Sports,"10,000 or more employees",0,1000-1999,Europe,Large,No team,1500.0,less than 10k,Data Analyst
15268,45-49,Man,Spain,Master’s degree,Program/Project Manager,10-20 years,5,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,60000-69999,Europe,Large,Small,65000.0,between 50k and 80k,Data Analyst
15269,50-54,Man,Other,Some college,DBA/Database Engineer,20+ years,4,Under 1 year,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Engineer
15270,45-49,Man,Belgium,Master’s degree,Other,20+ years,1,20 or more years,Other,50-249 employees,15-19,125000-149999,Europe,Medium,Medium,137500.0,more than 125k,Other
15271,45-49,Man,Spain,Doctoral degree,Other,20+ years,4,2-3 years,Academics/Education,"1000-9,999 employees",0,0-999,Europe,Large,No team,500.0,less than 10k,Other
15275,50-54,Man,USA,Master’s degree,Other,1-3 years,2,No experience,Other,"1000-9,999 employees",0,30000-39999,USA,Large,No team,35000.0,between 30k and 50k,Other
15276,40-44,Man,Other,I prefer not to answer,Data Analyst,3-5 years,3,2-3 years,Government/Public Service,250-999 employees,5-9,0-999,Other,Large,Small,500.0,less than 10k,Data Analyst
15278,50-54,Man,Spain,Master’s degree,Program/Project Manager,20+ years,3,5-10 years,Accounting/Finance,"10,000 or more employees",3-4,200000-249999,Europe,Large,Small,225000.0,more than 125k,Data Analyst
15279,35-39,Man,Chile,Master’s degree,Business Analyst,< 1 years,3,Under 1 year,Shipping/Transportation,"1000-9,999 employees",3-4,30000-39999,Other,Large,Small,35000.0,between 30k and 50k,Data Analyst
15280,30-34,Man,India,Master’s degree,Data Analyst,< 1 years,2,No experience,Accounting/Finance,"10,000 or more employees",20+,10000-14999,India,Large,Large,12500.0,between 10k and 30k,Data Analyst
15281,25-29,Woman,Malaysia,Master’s degree,Research Scientist,1-3 years,1,No experience,Medical/Pharmaceutical,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
15283,25-29,Man,USA,Some college,Program/Project Manager,< 1 years,2,Under 1 year,Non-profit/Service,0-49 employees,5-9,80000-89999,USA,Small,Small,85000.0,between 80k and 125k,Data Analyst
15284,60-69,Man,Japan,Bachelor’s degree,Program/Project Manager,1-3 years,3,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",1-2,150000-199999,Other,Large,Small,175000.0,more than 125k,Data Analyst
15285,30-34,Man,Greece,Master’s degree,Other,1-3 years,1,1-2 years,Energy/Mining,50-249 employees,1-2,1000-1999,Europe,Medium,Small,1500.0,less than 10k,Other
15286,30-34,Man,Israel,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Computers/Technology,50-249 employees,5-9,125000-149999,Other,Medium,Small,137500.0,more than 125k,Data Scientist
15287,25-29,Man,South Africa,Some college,Data Scientist,3-5 years,1,2-3 years,Energy/Mining,"1000-9,999 employees",1-2,70000-79999,Other,Large,Small,75000.0,between 50k and 80k,Data Scientist
15291,30-34,Man,Turkey,Bachelor’s degree,Data Engineer,20+ years,3,No experience,Computers/Technology,0-49 employees,1-2,1000-1999,Other,Small,Small,1500.0,less than 10k,Data Engineer
15292,25-29,Man,USA,Master’s degree,Research Scientist,3-5 years,1,3-4 years,Accounting/Finance,0-49 employees,1-2,150000-199999,USA,Small,Small,175000.0,more than 125k,Data Scientist
15293,22-24,Man,India,Bachelor’s degree,Data Engineer,3-5 years,3,1-2 years,Computers/Technology,"10,000 or more employees",20+,4000-4999,India,Large,Large,4500.0,less than 10k,Data Engineer
15294,25-29,Man,USA,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Government/Public Service,50-249 employees,1-2,15000-19999,USA,Medium,Small,17500.0,between 10k and 30k,Data Analyst
15296,35-39,Man,UK,Master’s degree,Program/Project Manager,1-3 years,1,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",20+,80000-89999,Europe,Large,Large,85000.0,between 80k and 125k,Data Analyst
15298,35-39,Man,Colombia,Doctoral degree,Data Scientist,1-3 years,2,1-2 years,Academics/Education,"1000-9,999 employees",20+,2000-2999,Other,Large,Large,2500.0,less than 10k,Data Scientist
15302,40-44,Man,Israel,High school,Program/Project Manager,10-20 years,5,2-3 years,Online Service/Internet-based Services,0-49 employees,3-4,100000-124999,Other,Small,Small,112500.0,between 80k and 125k,Data Analyst
15303,25-29,Man,Argentina,Bachelor’s degree,Business Analyst,< 1 years,1,No experience,Non-profit/Service,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
15306,30-34,Woman,USA,Doctoral degree,Data Scientist,10-20 years,3,1-2 years,Insurance/Risk Assessment,"10,000 or more employees",20+,125000-149999,USA,Large,Large,137500.0,more than 125k,Data Scientist
15308,25-29,Man,India,Bachelor’s degree,Data Analyst,< 1 years,1,No experience,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Analyst
15309,35-39,Man,Chile,Some college,Software Engineer,5-10 years,5,No experience,Energy/Mining,0-49 employees,1-2,20000-24999,Other,Small,Small,22500.0,between 10k and 30k,Data Engineer
15310,18-21,Man,Bangladesh,Bachelor’s degree,Software Engineer,3-5 years,2,1-2 years,Other,"10,000 or more employees",1-2,0-999,Other,Large,Small,500.0,less than 10k,Data Engineer
15311,55-59,Woman,USA,Master’s degree,Data Scientist,20+ years,3,5-10 years,Accounting/Finance,"10,000 or more employees",5-9,200000-249999,USA,Large,Small,225000.0,more than 125k,Data Scientist
15312,22-24,Man,Malaysia,Bachelor’s degree,Data Scientist,1-3 years,3,1-2 years,Insurance/Risk Assessment,250-999 employees,20+,10000-14999,Other,Large,Large,12500.0,between 10k and 30k,Data Scientist
15313,30-34,Woman,India,Master’s degree,Software Engineer,10-20 years,5,1-2 years,Computers/Technology,"1000-9,999 employees",3-4,2000-2999,India,Large,Small,2500.0,less than 10k,Data Engineer
15314,30-34,Man,Japan,Master’s degree,Data Analyst,< 1 years,2,2-3 years,Marketing/CRM,50-249 employees,1-2,4000-4999,Other,Medium,Small,4500.0,less than 10k,Data Analyst
15316,25-29,Man,Morocco,Doctoral degree,Data Analyst,3-5 years,2,3-4 years,Academics/Education,0-49 employees,5-9,7500-9999,Other,Small,Small,8750.0,less than 10k,Data Analyst
15317,25-29,Man,Russia,Master’s degree,Program/Project Manager,5-10 years,3,No experience,Accounting/Finance,"10,000 or more employees",20+,20000-24999,Europe,Large,Large,22500.0,between 10k and 30k,Data Analyst
15319,45-49,Other,Australia,Master’s degree,Product Manager,< 1 years,1,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,250000-299999,Other,Large,Large,275000.0,more than 125k,Data Analyst
15320,22-24,Man,Pakistan,Master’s degree,Data Scientist,< 1 years,3,No experience,Academics/Education,250-999 employees,1-2,0-999,Other,Large,Small,500.0,less than 10k,Data Scientist
15321,22-24,Man,Chile,Master’s degree,Data Scientist,3-5 years,4,3-4 years,Shipping/Transportation,50-249 employees,5-9,20000-24999,Other,Medium,Small,22500.0,between 10k and 30k,Data Scientist
15324,25-29,Man,Ghana,Bachelor’s degree,Data Scientist,1-3 years,3,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,1000-1999,Other,Small,Small,1500.0,less than 10k,Data Scientist
15325,30-34,Woman,India,Bachelor’s degree,Other,< 1 years,1,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",0,7500-9999,India,Large,No team,8750.0,less than 10k,Other
15327,30-34,Man,Colombia,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Energy/Mining,50-249 employees,1-2,1000-1999,Other,Medium,Small,1500.0,less than 10k,Data Scientist
15328,40-44,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,2,5-10 years,Other,"1000-9,999 employees",20+,100000-124999,Europe,Large,Large,112500.0,between 80k and 125k,Data Analyst
15330,55-59,Man,Canada,Bachelor’s degree,Research Scientist,1-3 years,2,2-3 years,Energy/Mining,0-49 employees,5-9,70000-79999,Other,Small,Small,75000.0,between 50k and 80k,Data Scientist
15331,25-29,Man,South Africa,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,250-999 employees,0,1000-1999,Other,Large,No team,1500.0,less than 10k,Data Engineer
15332,55-59,Man,France,Doctoral degree,Data Engineer,20+ years,3,5-10 years,Other,"10,000 or more employees",20+,5000-7499,Europe,Large,Large,6250.0,less than 10k,Data Engineer
15333,30-34,Man,Germany,Master’s degree,Program/Project Manager,< 1 years,2,Under 1 year,Manufacturing/Fabrication,50-249 employees,5-9,50000-59999,Europe,Medium,Small,55000.0,between 50k and 80k,Data Analyst
15334,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Engineer
15335,25-29,Man,Germany,Master’s degree,Data Engineer,1-3 years,6,Under 1 year,Insurance/Risk Assessment,0-49 employees,5-9,0-999,Europe,Small,Small,500.0,less than 10k,Data Engineer
15338,25-29,Man,South Korea,Bachelor’s degree,Machine Learning Engineer,5-10 years,2,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,30000-39999,Other,Small,Small,35000.0,between 30k and 50k,Data Engineer
15342,18-21,Woman,Saudi Arabia,Bachelor’s degree,Other,1-3 years,4,No experience,Academics/Education,50-249 employees,0,0-999,Other,Medium,No team,500.0,less than 10k,Other
15343,40-44,Man,USA,Doctoral degree,Research Scientist,20+ years,3,10-20 years,Military/Security/Defense,"10,000 or more employees",15-19,125000-149999,USA,Large,Medium,137500.0,more than 125k,Data Scientist
15344,30-34,Woman,Russia,Master’s degree,Business Analyst,< 1 years,2,Under 1 year,Marketing/CRM,50-249 employees,0,1000-1999,Europe,Medium,No team,1500.0,less than 10k,Data Analyst
15348,60-69,Man,Argentina,Master’s degree,Data Analyst,10-20 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",5-9,5000-7499,Other,Large,Small,6250.0,less than 10k,Data Analyst
15350,40-44,Man,India,Master’s degree,Data Scientist,10-20 years,2,5-10 years,Computers/Technology,250-999 employees,3-4,100000-124999,India,Large,Small,112500.0,between 80k and 125k,Data Scientist
15351,40-44,Woman,Malaysia,Master’s degree,Program/Project Manager,1-3 years,3,Under 1 year,Other,0-49 employees,1-2,30000-39999,Other,Small,Small,35000.0,between 30k and 50k,Data Analyst
15352,22-24,Woman,India,Master’s degree,Software Engineer,3-5 years,1,No experience,Computers/Technology,50-249 employees,0,0-999,India,Medium,No team,500.0,less than 10k,Data Engineer
15353,35-39,Man,Japan,Master’s degree,Data Engineer,3-5 years,1,2-3 years,Computers/Technology,250-999 employees,3-4,40000-49999,Other,Large,Small,45000.0,between 30k and 50k,Data Engineer
15354,30-34,Woman,UK,Bachelor’s degree,Software Engineer,1-3 years,2,2-3 years,Computers/Technology,"10,000 or more employees",20+,40000-49999,Europe,Large,Large,45000.0,between 30k and 50k,Data Engineer
15355,25-29,Man,Ukraine,Doctoral degree,Research Scientist,1-3 years,3,2-3 years,Academics/Education,250-999 employees,1-2,0-999,Europe,Large,Small,500.0,less than 10k,Data Scientist
15356,25-29,Woman,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Non-profit/Service,50-249 employees,20+,25000-29999,Other,Medium,Large,27500.0,between 10k and 30k,Data Scientist
15359,35-39,Man,Turkey,Doctoral degree,Software Engineer,10-20 years,3,4-5 years,Computers/Technology,0-49 employees,1-2,2000-2999,Other,Small,Small,2500.0,less than 10k,Data Engineer
15360,25-29,Man,Pakistan,Some college,Software Engineer,3-5 years,2,Under 1 year,Computers/Technology,50-249 employees,20+,7500-9999,Other,Medium,Large,8750.0,less than 10k,Data Engineer
15362,45-49,Man,Other,Doctoral degree,Data Scientist,10-20 years,4,10-20 years,Other,250-999 employees,1-2,125000-149999,Other,Large,Small,137500.0,more than 125k,Data Scientist
15364,25-29,Man,Bangladesh,Master’s degree,Statistician,1-3 years,2,2-3 years,Medical/Pharmaceutical,"1000-9,999 employees",10-14,5000-7499,Other,Large,Medium,6250.0,less than 10k,Data Scientist
15365,22-24,Man,USA,Master’s degree,Data Scientist,5-10 years,1,4-5 years,Online Service/Internet-based Services,250-999 employees,20+,150000-199999,USA,Large,Large,175000.0,more than 125k,Data Scientist
15366,40-44,Man,India,Bachelor’s degree,Product Manager,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",1-2,40000-49999,India,Large,Small,45000.0,between 30k and 50k,Data Analyst
15368,45-49,Man,South Korea,Doctoral degree,Data Scientist,20+ years,3,20 or more years,Computers/Technology,250-999 employees,20+,90000-99999,Other,Large,Large,95000.0,between 80k and 125k,Data Scientist
15369,45-49,Man,Sweden,Master’s degree,Program/Project Manager,5-10 years,1,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",10-14,80000-89999,Europe,Large,Medium,85000.0,between 80k and 125k,Data Analyst
15371,22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,3,1-2 years,Computers/Technology,"10,000 or more employees",20+,0-999,India,Large,Large,500.0,less than 10k,Data Engineer
15375,25-29,Man,UAE,Bachelor’s degree,Data Analyst,1-3 years,1,No experience,Government/Public Service,"10,000 or more employees",0,40000-49999,Other,Large,No team,45000.0,between 30k and 50k,Data Analyst
15376,25-29,Woman,USA,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Online Service/Internet-based Services,250-999 employees,15-19,70000-79999,USA,Large,Medium,75000.0,between 50k and 80k,Data Analyst
15380,45-49,Man,Philippines,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Other,"10,000 or more employees",20+,50000-59999,Other,Large,Large,55000.0,between 50k and 80k,Data Scientist
15381,25-29,Man,Pakistan,Doctoral degree,Machine Learning Engineer,1-3 years,4,Under 1 year,Academics/Education,50-249 employees,20+,1000-1999,Other,Medium,Large,1500.0,less than 10k,Data Engineer
15382,55-59,Man,USA,Some college,Data Scientist,20+ years,4,1-2 years,Academics/Education,0-49 employees,1-2,125000-149999,USA,Small,Small,137500.0,more than 125k,Data Scientist
15383,30-34,Man,Poland,Master’s degree,Research Scientist,10-20 years,2,5-10 years,Academics/Education,"1000-9,999 employees",1-2,50000-59999,Europe,Large,Small,55000.0,between 50k and 80k,Data Scientist
15384,30-34,Man,Colombia,Master’s degree,Business Analyst,1-3 years,2,No experience,Accounting/Finance,"1000-9,999 employees",20+,2000-2999,Other,Large,Large,2500.0,less than 10k,Data Analyst
15386,30-34,Woman,France,Doctoral degree,Research Scientist,5-10 years,1,4-5 years,Energy/Mining,0-49 employees,0,1000-1999,Europe,Small,No team,1500.0,less than 10k,Data Scientist
15387,25-29,Woman,Indonesia,Master’s degree,Statistician,5-10 years,2,No experience,Academics/Education,"1000-9,999 employees",0,0-999,Other,Large,No team,500.0,less than 10k,Data Scientist
15388,35-39,Man,Chile,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Accounting/Finance,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Analyst
15389,25-29,Man,Canada,Bachelor’s degree,Data Analyst,1-3 years,1,3-4 years,Accounting/Finance,0-49 employees,1-2,60000-69999,Other,Small,Small,65000.0,between 50k and 80k,Data Analyst
15390,22-24,Woman,India,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,"1000-9,999 employees",10-14,4000-4999,India,Large,Medium,4500.0,less than 10k,Data Scientist
15392,60-69,Man,Other,Master’s degree,Program/Project Manager,10-20 years,1,4-5 years,Insurance/Risk Assessment,0-49 employees,1-2,150000-199999,Other,Small,Small,175000.0,more than 125k,Data Analyst
15393,35-39,Man,Ukraine,Master’s degree,Business Analyst,1-3 years,3,Under 1 year,Marketing/CRM,"1000-9,999 employees",0,40000-49999,Europe,Large,No team,45000.0,between 30k and 50k,Data Analyst
15395,22-24,Man,Australia,Bachelor’s degree,Software Engineer,1-3 years,3,1-2 years,Academics/Education,50-249 employees,3-4,2000-2999,Other,Medium,Small,2500.0,less than 10k,Data Engineer
15397,45-49,Man,USA,Master’s degree,Data Scientist,10-20 years,4,3-4 years,Other,"1000-9,999 employees",5-9,150000-199999,USA,Large,Small,175000.0,more than 125k,Data Scientist
